# MANA Agent End State Results File
# Version: 5.01.04
# Machine Name: APGRNBRCG5RTKZK
# Run Started at 3/21/2013, 12:16:41 PM
RandSeed= 1547797252
ID,name,squad,subsquad,x,y,status,fuel,goalx,goaly,hits,state,trig_step,ammo1,ammo2,ammo3,ammo4,ammo5,ammo6
0,Minefield_agent,Minefield,0,15132.0,25493.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
1,Minefield_agent,Minefield,0,15046.0,25572.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
2,Minefield_agent,Minefield,0,14922.0,25805.0,Active,1000,0,0,0,Taken Shot State (Pri),7192,0, 0, 0, 0, 0, 0
3,Minefield_agent,Minefield,0,14890.0,25515.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
4,Minefield_agent,Minefield,0,14894.0,25385.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
5,Minefield_agent,Minefield,0,15008.0,25455.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
6,IED_agent,IED,0,15221.0,2952.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
7,AH64D_AttHel_agent,AH64D_AttHeli,0,4549.4,34226.7,Injured,2180,24153,35689,1,Contact State,49731,1198,1,3, 0, 0, 0
8,AH64D_AttHel_agent,AH64D_AttHeli,0,13084.5,25999.5,Dead,181060,23669,951,2,Injured State,5229,1198,0,8, 0, 0, 0
9,Bradley M2A3_agent,Bradley M2A3,0,13633.1,39645.3,Active,1000,13629,39683,0,Default State,43159,504,4319,0, 0, 0, 0
10,Bradley_Infa_agent,Bradley_Infantry,0,12842.7,28084.1,Dead,8600,13629,39556,1,Shot At State (Pri),5332,1171,1250,70,1, 0, 0
11,Bradley_Infa_agent,Bradley_Infantry,0,12819.9,28132.5,Dead,8600,13629,39556,1,Shot At State (Pri),5382,1171,1250,70,1, 0, 0
12,Bradley_Infa_agent,Bradley_Infantry,0,13633.1,39645.3,Active,8600,13629,39556,0,Reach Dynamic Waypoint State,40024,1169,1249,70,0, 0, 0
13,Bradley_Infa_agent,Bradley_Infantry,0,12843.8,28217.9,Dead,8600,13629,39556,1,Shot At State (Sec),5455,1151,1250,70,0, 0, 0
14,Bradley_Infa_agent,Bradley_Infantry,0,13633.1,39645.3,Active,8600,13629,39556,0,Reach Dynamic Waypoint State,40037,1158,1250,70,0, 0, 0
15,Bradley_Infa_agent,Bradley_Infantry,0,12875.6,28279.3,Dead,8600,13629,39556,1,Shot At State (Sec),5610,1173,1250,70,1, 0, 0
16,Bradley_Infa_agent,Bradley_Infantry,0,14789.2,31629.5,Dead,8600,13629,39556,1,Shot At State (Pri),36420,1149,1250,70,0, 0, 0
17,Red_Inf_Squa_agent,Red_Inf_Squad,0,14029.9,3194.6,Dead,8600,0,0,1,Shot At State (Pri),364,1975,3500,20,1, 0, 0
