# MANA Casualty Location Results File
# Version: 5.01.04
# Machine Name: APGRNBRCG5RTKZK
# Run Started at 3/21/2013, 12:16:41 PM
RandSeed= 1547797252
ID,x-casualty,y-casualty,time,Cas Squad,Cas Squad ID,Cas alleg,subsquad,state,shooter ID,Squad ID,Sqd name,weapon class,weapon ID,x-shooter,y-shooter,shooter alleg
97
6,15221,2952,120,IED,2,2,0,Default State,62,15,Bradley M2A3,Primary,3,15308,1526,1
29,14915,3288,140,Red_Inf_Squad,6,2,5,Shot At State (Pri),61,14,Bradley M2A3,Primary,3,15271,1501,1
23,14887,3503,159,Red_Inf_Squad,6,2,6,Shot At State (Pri),9,4,Bradley M2A3,Primary,1,14843,2714,1
19,15540,3279,239,Red_Inf_Squad,6,2,2,Shot At State (Pri),63,16,Bradley M2A3,Primary,3,14959,2006,1
31,14620,3167,270,Red_Inf_Squad,6,2,0,Shot At State (Pri),9,4,Bradley M2A3,Primary,1,14793,3068,1
93,14087,3134,277,Red_60mm_mortar,19,2,0,Shot At State (Pri),16,5,Bradley_Infantry,Primary,1,14963,2683,1
20,15758,3009,284,Red_Inf_Squad,6,2,3,Shot At State (Pri),34,7,M1A2 Abrams Sep,Primary,1,15282,2295,1
91,14324,3075,322,Red_60mm_mortar,19,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27889,873,1
26,15545,3277,323,Red_Inf_Squad,6,2,2,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27889,873,1
30,14971,3779,339,Red_Inf_Squad,6,2,6,Shot At State (Pri),63,16,Bradley M2A3,Primary,3,14919,2089,1
46,15928,2928,340,Bradley_Infantry,11,1,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27889,873,1
22,14926,3308,347,Red_Inf_Squad,6,2,5,Shot At State (Sec),9,4,Bradley M2A3,Secondary,2,14761,3116,1
92,14338,3077,349,Red_60mm_mortar,19,2,0,Shot At State (Pri),63,16,Bradley M2A3,Primary,3,14918,2089,1
24,14235,3167,349,Red_Inf_Squad,6,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27889,873,1
27,16142,3033,351,Red_Inf_Squad,6,2,3,Shot At State (Sec),61,14,Bradley M2A3,Secondary,2,15968,2985,1
17,14030,3195,364,Red_Inf_Squad,6,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27889,873,1
25,14056,3140,430,Red_Inf_Squad,6,2,1,Shot At State (Pri),14,5,Bradley_Infantry,Primary,4,14926,3025,1
28,15907,3550,490,Red_Inf_Squad,6,2,4,Shot At State (Pri),40,11,Bradley_Infantry,Primary,1,15934,2968,1
21,15818,3544,635,Red_Inf_Squad,6,2,4,Shot At State (Pri),41,11,Bradley_Infantry,Primary,1,15922,2995,1
18,13696,3053,655,Red_Inf_Squad,6,2,1,Shot At State (Pri),55,13,Bradley_Infantry,Primary,1,14825,2924,1
32,13707,3114,1042,Red_Inf_Squad,6,2,1,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,15019,2980,1
5,15008,25455,3257,Minefield,1,2,0,Default State,38,9,M109A6 155mm,Primary,2,27889,873,1
0,15132,25493,3354,Minefield,1,2,0,Default State,38,9,M109A6 155mm,Primary,2,27889,873,1
3,14890,25515,3393,Minefield,1,2,0,Default State,38,9,M109A6 155mm,Primary,2,27889,873,1
34,13818,15098,3725,M1A2 Abrams Sep,7,1,0,Default State,95,21,Red_Milan,Primary,1,12261,17555,2
33,13818,15154,3781,M1A2 Abrams Sep,7,1,0,Default State,96,21,Red_Milan,Primary,1,12524,17518,2
96,12524,17518,3882,Red_Milan,21,2,0,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,14705,16244,1
95,12261,17555,3887,Red_Milan,21,2,0,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,14701,16282,1
111,15982,25359,3954,Red_Milan,26,2,1,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27889,873,1
1,15046,25572,4282,Minefield,1,2,0,Default State,7,3,AH64D_AttHeli,Primary,3,14504,18265,1
4,14894,25385,4596,Minefield,1,2,0,Default State,7,3,AH64D_AttHeli,Primary,2,13676,22992,1
110,16148,25376,4609,Red_Milan,26,2,1,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,2,13660,23089,1
102,11079,31518,4777,T-90M,23,2,0,Default State,7,3,AH64D_AttHeli,Primary,2,13355,24348,1
