# MANA Casualty Location Results File
# Version: 5.01.04
# Machine Name: APGRNBRCG5RTKZK
# Run Started at 3/21/2013, 12:42:11 PM
RandSeed= -824230527
ID,x-casualty,y-casualty,time,Cas Squad,Cas Squad ID,Cas alleg,subsquad,state,shooter ID,Squad ID,Sqd name,weapon class,weapon ID,x-shooter,y-shooter,shooter alleg
80
91,14056,3064,132,Red_60mm_mortar,19,2,0,Shot At State (Pri),36,7,M1A2 Abrams Sep,Primary,1,15182,1466,1
6,15221,2952,137,IED,2,2,0,Default State,38,9,M109A6 155mm,Primary,2,27940,618,1
26,15542,3277,154,Red_Inf_Squad,6,2,2,Shot At State (Pri),36,7,M1A2 Abrams Sep,Primary,1,15298,1538,1
42,15258,2901,161,Bradley_Infantry,11,1,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,2,27940,618,1
45,15244,2913,161,Bradley_Infantry,11,1,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,2,27940,618,1
43,15233,2917,170,Bradley_Infantry,11,1,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,2,27940,618,1
27,16030,2988,186,Red_Inf_Squad,6,2,3,Shot At State (Pri),34,7,M1A2 Abrams Sep,Primary,1,15298,1463,1
29,14972,3408,206,Red_Inf_Squad,6,2,5,Shot At State (Sec),62,15,Bradley M2A3,Secondary,2,15159,3143,1
28,15555,3469,217,Red_Inf_Squad,6,2,4,Shot At State (Pri),33,7,M1A2 Abrams Sep,Primary,1,15346,2183,1
24,14841,3209,222,Red_Inf_Squad,6,2,0,Shot At State (Sec),9,4,Bradley M2A3,Secondary,2,15104,2947,1
23,14907,3768,242,Red_Inf_Squad,6,2,6,Shot At State (Pri),61,14,Bradley M2A3,Primary,3,15355,3178,1
44,15204,3037,248,Bradley_Infantry,11,1,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,2,27940,618,1
51,15167,3019,248,Bradley_Infantry,12,1,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,2,27940,618,1
22,14911,3296,256,Red_Inf_Squad,6,2,5,Shot At State (Pri),62,15,Bradley M2A3,Primary,1,15043,3246,1
40,15122,3140,276,Bradley_Infantry,11,1,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27940,618,1
19,15543,3278,307,Red_Inf_Squad,6,2,2,Shot At State (Sec),61,14,Bradley M2A3,Secondary,2,15252,3216,1
93,14338,3135,316,Red_60mm_mortar,19,2,0,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,3,16487,2700,1
92,14328,3123,321,Red_60mm_mortar,19,2,0,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,16450,2711,1
20,16020,3012,331,Red_Inf_Squad,6,2,3,Shot At State (Pri),63,16,Bradley M2A3,Primary,1,16036,2964,1
21,15768,3564,341,Red_Inf_Squad,6,2,4,Shot At State (Pri),48,12,Bradley_Infantry,Primary,1,15080,3118,1
17,14591,3217,347,Red_Inf_Squad,6,2,0,Shot At State (Pri),48,12,Bradley_Infantry,Primary,1,15064,3123,1
18,13603,3051,350,Red_Inf_Squad,6,2,1,Shot At State (Pri),47,12,Bradley_Infantry,Primary,4,15009,3155,1
31,14394,3153,360,Red_Inf_Squad,6,2,0,Shot At State (Pri),49,12,Bradley_Infantry,Primary,4,15013,3118,1
30,14942,3848,575,Red_Inf_Squad,6,2,6,Shot At State (Pri),53,12,Bradley_Infantry,Primary,4,14952,3245,1
2,15124,25682,3012,Minefield,1,2,0,Default State,38,9,M109A6 155mm,Primary,2,27940,618,1
33,13681,15538,3145,M1A2 Abrams Sep,7,1,0,Default State,95,21,Red_Milan,Primary,1,12319,17507,2
36,13711,15009,3146,M1A2 Abrams Sep,7,1,0,Default State,96,21,Red_Milan,Primary,1,12550,17514,2
95,12319,17507,3247,Red_Milan,21,2,0,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,2,14728,13022,1
67,15640,25448,3479,Red_Inf_Squad,17,2,0,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,3,14616,17673,1
96,12550,17514,3480,Red_Milan,21,2,0,Shot At State (Pri),63,16,Bradley M2A3,Primary,3,13970,16430,1
65,15545,25458,3484,Red_Inf_Squad,17,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27940,618,1
5,14985,25561,3503,Minefield,1,2,0,Default State,38,9,M109A6 155mm,Primary,2,27940,618,1
34,14331,23626,4018,M1A2 Abrams Sep,7,1,0,Default State,111,26,Red_Milan,Primary,1,15980,25372,2
94,10929,28560,4025,Red_M120mm_mortar,20,2,0,Taken Shot State (Pri),7,3,AH64D_AttHeli,Primary,2,13069,24596,1
100,11560,31659,4126,T-90M,23,2,0,Default State,7,3,AH64D_AttHeli,Primary,2,12894,25347,1
101,11360,30009,4149,T-90M,23,2,0,Squad Taken Shot State (Pri),8,3,AH64D_AttHeli,Primary,2,13260,23190,1
39,10619,29057,4154,RQ11 Raven,10,1,0,Shot At State (Pri),97,22,Red_SA18,Primary,1,10080,28413,2
111,15980,25372,4190,Red_Milan,26,2,1,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27940,618,1
70,14374,26296,4313,Red_Inf_Squad,17,2,1,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,3,12862,25453,1
69,14695,26194,4344,Red_Inf_Squad,17,2,1,Shot At State (Pri),61,14,Bradley M2A3,Primary,3,14611,25454,1
66,14248,26175,4361,Red_Inf_Squad,17,2,1,Shot At State (Sec),62,15,Bradley M2A3,Secondary,2,14577,26071,1
64,14515,26331,4369,Red_Inf_Squad,17,2,1,Shot At State (Sec),62,15,Bradley M2A3,Secondary,2,14634,26144,1
54,14671,26127,4398,Bradley_Infantry,13,1,0,Shot At State (Pri),102,23,T-90M,Primary,3,12005,30268,2
55,14671,26127,4398,Bradley_Infantry,13,1,0,Shot At State (Pri),102,23,T-90M,Primary,3,12005,30268,2
56,14671,26127,4398,Bradley_Infantry,13,1,0,Shot At State (Pri),102,23,T-90M,Primary,3,12005,30268,2
57,14671,26127,4398,Bradley_Infantry,13,1,0,Shot At State (Pri),102,23,T-90M,Primary,3,12005,30268,2
58,14671,26127,4398,Bradley_Infantry,13,1,0,Shot At State (Pri),102,23,T-90M,Primary,3,12005,30268,2
59,14671,26127,4398,Bradley_Infantry,13,1,0,Shot At State (Pri),102,23,T-90M,Primary,3,12005,30268,2
60,14671,26127,4398,Bradley_Infantry,13,1,0,Shot At State (Pri),102,23,T-90M,Primary,3,12005,30268,2
63,14671,26127,4398,Bradley M2A3,16,1,0,Shot At State (Pri),102,23,T-90M,Primary,3,12005,30268,2
110,16219,25347,4441,Red_Milan,26,2,1,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,3,15540,21359,1
73,14582,26214,4461,Red_Inf_Squad,17,2,1,Shot At State (Pri),47,12,Bradley_Infantry,Primary,1,14623,26218,1
71,15626,26139,4485,Red_Inf_Squad,17,2,0,Shot At State (Pri),47,12,Bradley_Infantry,Primary,1,14636,26237,1
10,13839,25706,4530,Bradley_Infantry,5,1,0,Shot At State (Pri),102,23,T-90M,Primary,3,12152,29851,2
11,13839,25706,4530,Bradley_Infantry,5,1,0,Shot At State (Pri),102,23,T-90M,Primary,3,12152,29851,2
12,13839,25706,4530,Bradley_Infantry,5,1,0,Shot At State (Pri),102,23,T-90M,Primary,3,12152,29851,2
13,13839,25706,4530,Bradley_Infantry,5,1,0,Shot At State (Pri),102,23,T-90M,Primary,3,12152,29851,2
14,13839,25706,4530,Bradley_Infantry,5,1,0,Shot At State (Pri),102,23,T-90M,Primary,3,12152,29851,2
15,13839,25706,4530,Bradley_Infantry,5,1,0,Shot At State (Pri),102,23,T-90M,Primary,3,12152,29851,2
16,13839,25706,4530,Bradley_Infantry,5,1,0,Shot At State (Pri),102,23,T-90M,Primary,3,12152,29851,2
9,13839,25706,4530,Bradley M2A3,4,1,0,Shot At State (Pri),102,23,T-90M,Primary,3,12152,29851,2
99,12383,29445,4700,T-90M,23,2,0,Squad Taken Shot State (Pri),61,14,Bradley M2A3,Primary,3,13989,26797,1
68,13663,26216,4728,Red_Inf_Squad,17,2,1,Shot At State (Pri),52,12,Bradley_Infantry,Primary,1,14607,26392,1
47,14620,26511,4772,Bradley_Infantry,12,1,0,Shot At State (Pri),102,23,T-90M,Primary,1,12466,29085,2
41,14425,25675,4818,Bradley_Infantry,11,1,0,Shot At State (Pri),102,23,T-90M,Primary,1,12494,29008,2
102,12556,28928,4864,T-90M,23,2,0,Squad Taken Shot State (Pri),35,7,M1A2 Abrams Sep,Primary,1,14359,27638,1
108,14269,29898,5062,Red_Milan,26,2,0,Shot At State (Pri),35,7,M1A2 Abrams Sep,Primary,1,14359,27650,1
97,10080,28413,5160,Red_SA18,22,2,0,Shot At State (Pri),62,15,Bradley M2A3,Primary,3,13686,27536,1
109,14478,29845,6083,Red_Milan,26,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27940,618,1
77,14560,31285,6139,Red_Inf_Squad,18,2,0,Shot At State (Sec),35,7,M1A2 Abrams Sep,Secondary,3,14829,31403,1
98,10206,28525,6209,Red_SA18,22,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27940,618,1
75,14629,31254,6314,Red_Inf_Squad,18,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27940,618,1
81,14631,31503,6314,Red_Inf_Squad,18,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27940,618,1
83,14624,31549,7020,Red_Inf_Squad,18,2,0,Shot At State (Pri),35,7,M1A2 Abrams Sep,Primary,1,14513,33307,1
79,14661,31471,8203,Red_Inf_Squad,18,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27940,618,1
85,14586,31473,8225,Red_Inf_Squad,18,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27940,618,1
89,14650,31543,8226,Red_Inf_Squad,18,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27940,618,1
88,14180,30851,8335,Red_Inf_Squad,18,2,1,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27940,618,1
87,14564,31328,8456,Red_Inf_Squad,18,2,0,Shot At State (Pri),48,12,Bradley_Infantry,Primary,1,14608,30851,1
76,14178,30938,8466,Red_Inf_Squad,18,2,1,Shot At State (Pri),48,12,Bradley_Infantry,Primary,1,14595,30874,1
# Run End
