# MANA MultiRun Summary File
# Version: 5.01.04
# Machine Name: APGRNBRCG5RTKZK
# Scenario,C:\Users\steve.mazza\Desktop\School\SE311-114G\MANA_version5_31st_Jan_2013\ThesisScenario_3_12.xml
# MultiRun Started,3/21/2013,2:29:38 PM
Run,Seed,Alleg1Cas(Blue),Alleg2Cas(Red),Alleg0Cas(Neutral),Blue Reach Goal,Red Reach Goal,Neutral Reach Goal,Steps, Sqd1Cas, Sqd2Cas, Sqd3Cas, Sqd4Cas, Sqd5Cas, Sqd6Cas, Sqd7Cas, Sqd8Cas, Sqd9Cas, Sqd10Cas, Sqd11Cas, Sqd12Cas, Sqd13Cas, Sqd14Cas, Sqd15Cas, Sqd16Cas, Sqd17Cas, Sqd18Cas, Sqd19Cas, Sqd20Cas, Sqd21Cas, Sqd22Cas, Sqd23Cas, Sqd24Cas, Sqd25Cas, Sqd26Cas, Sqd1Inj, Sqd2Inj, Sqd3Inj, Sqd4Inj, Sqd5Inj, Sqd6Inj, Sqd7Inj, Sqd8Inj, Sqd9Inj, Sqd10Inj, Sqd11Inj, Sqd12Inj, Sqd13Inj, Sqd14Inj, Sqd15Inj, Sqd16Inj, Sqd17Inj, Sqd18Inj, Sqd19Inj, Sqd20Inj, Sqd21Inj, Sqd22Inj, Sqd23Inj, Sqd24Inj, Sqd25Inj, Sqd26Inj
1,1547797252,26,67,0,No,No,Yes,15167, 5, 1, 2, 1, 7, 16, 1, 0, 0, 0, 7, 2, 5, 1, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2,1023314575,17,64,0,No,No,Yes,13007, 5, 1, 1, 0, 1, 16, 1, 0, 0, 0, 7, 1, 3, 1, 1, 1, 9, 16, 3, 1, 2, 2, 4, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3,-1851917843,17,67,0,No,No,Yes,17201, 5, 1, 1, 0, 1, 16, 0, 0, 0, 0, 7, 3, 4, 1, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4,-1123451784,22,58,0,No,No,Yes,13797, 3, 1, 1, 0, 4, 16, 2, 0, 0, 1, 1, 7, 4, 1, 1, 0, 11, 9, 3, 1, 2, 1, 4, 0, 3, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5,-2020556283,34,60,0,No,No,Yes,8946, 5, 1, 0, 1, 7, 16, 2, 0, 0, 0, 7, 7, 7, 1, 1, 1, 9, 11, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
# MultiRun Finished,3/21/2013,2:55:17 PM
, , BlueCas, RedCas, NeutralCas, BlueGoal, RedGoal, SquadGoal, Steps, RealTime, 
Means, , 23.200000, 63.200000, 0.000000, 0.000000, 0.000000, 1.000000, 13623.600000, 13623.600000, 
Std Errors, , 3.184337, 1.827567, 0.000000, 0.000000, 0.000000, 0.000000, 1368.760008, 1368.760008, 
# Output Ends
