# MANA Agent End State Results File
# Version: 5.01.04
# Machine Name: APGRNBRCG5RTKZK
# Run Started at 3/21/2013, 2:39:48 PM
RandSeed= -1851917843
ID,name,squad,subsquad,x,y,status,fuel,goalx,goaly,hits,state,trig_step,ammo1,ammo2,ammo3,ammo4,ammo5,ammo6
0,Minefield_agent,Minefield,0,15023.0,25724.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
1,Minefield_agent,Minefield,0,14837.0,25682.0,Active,1000,0,0,0,Taken Shot State (Pri),6615,0, 0, 0, 0, 0, 0
2,Minefield_agent,Minefield,0,15070.0,25528.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
3,Minefield_agent,Minefield,0,15079.0,25752.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
4,Minefield_agent,Minefield,0,15006.0,25425.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
5,Minefield_agent,Minefield,0,15040.0,25773.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
6,IED_agent,IED,0,15221.0,2952.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
7,AH64D_AttHel_agent,AH64D_AttHeli,0,28668.6,571.2,Injured,4004,23669,951,1,Fuel Out State,16200,1178,7,23, 0, 0, 0
8,AH64D_AttHel_agent,AH64D_AttHeli,0,14162.0,28611.1,Dead,4004,23669,951,2,Fuel Out State,16200,1194,8,7, 0, 0, 0
9,Bradley M2A3_agent,Bradley M2A3,0,11669.8,29319.6,Active,1000,15000,31569,0,Shot At State (Pri),15797,900,4400,6, 0, 0, 0
10,Bradley_Infa_agent,Bradley_Infantry,0,13215.1,32292.3,Active,8600,13629,39556,0,Reach Dynamic Waypoint State,16114,1200,1250,70,1, 0, 0
11,Bradley_Infa_agent,Bradley_Infantry,0,13362.6,32331.0,Active,8600,13629,39556,0,Reach Dynamic Waypoint State,16124,1200,1250,70,1, 0, 0
12,Bradley_Infa_agent,Bradley_Infantry,0,14727.1,32239.5,Dead,8600,13629,39556,1,Shot At State (Pri),14298,1200,1250,70,1, 0, 0
13,Bradley_Infa_agent,Bradley_Infantry,0,13422.5,32468.7,Active,8600,13629,39556,0,Reach Dynamic Waypoint State,16147,1200,1250,70,1, 0, 0
