# MANA Agent End State Results File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Run Started at 3/21/2013, 9:24:30 PM
RandSeed= -383044815
ID,name,squad,subsquad,x,y,status,fuel,goalx,goaly,hits,state,trig_step,ammo1,ammo2,ammo3,ammo4,ammo5,ammo6
0,Minefield_agent,Minefield,0,15194.0,25513.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
1,Minefield_agent,Minefield,0,14972.0,25461.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
2,Minefield_agent,Minefield,0,14849.0,25453.0,Active,1000,0,0,0,Taken Shot State (Pri),6574,0, 0, 0, 0, 0, 0
3,Minefield_agent,Minefield,0,14917.0,25800.0,Active,1000,0,0,0,Taken Shot State (Pri),6994,0, 0, 0, 0, 0, 0
4,Minefield_agent,Minefield,0,14867.0,25573.0,Active,1000,0,0,0,Taken Shot State (Pri),6790,0, 0, 0, 0, 0, 0
5,Minefield_agent,Minefield,0,15169.0,25426.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
6,IED_agent,IED,0,15221.0,2952.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
7,AH64D_AttHel_agent,AH64D_AttHeli,0,12755.4,34350.9,Injured,2780,2419,2853,1,Default State,12677,1184,5,27, 0, 0, 0
8,AH64D_AttHel_agent,AH64D_AttHeli,0,13327.6,29720.9,Dead,2780,2419,2853,2,Shot At State (Pri),12041,1176,6,33, 0, 0, 0
9,Bradley M2A3_agent,Bradley M2A3,0,15617.5,27774.4,Dead,1000,15565,29287,1,Embussed Children,13420,898,4400,6, 0, 0, 0
10,Bradley_Infa_agent,Bradley_Infantry,0,15617.5,27774.4,Dead,8600,13629,39556,1,Shot At State (Pri),7406,1095,1250,70,0, 0, 0
11,Bradley_Infa_agent,Bradley_Infantry,0,15617.5,27774.4,Dead,8600,13629,39556,1,Shot At State (Pri),7406,1118,1250,70,0, 0, 0
12,Bradley_Infa_agent,Bradley_Infantry,0,15617.5,27774.4,Dead,8600,13629,39556,1,Shot At State (Pri),7406,1101,1250,70,0, 0, 0
13,Bradley_Infa_agent,Bradley_Infantry,0,14287.8,3050.9,Dead,8600,13629,39556,1,Shot At State (Pri),1323,1112,1250,70,1, 0, 0
14,Bradley_Infa_agent,Bradley_Infantry,0,15617.5,27774.4,Dead,8600,13629,39556,1,Shot At State (Pri),7406,1095,1250,70,1, 0, 0
15,Bradley_Infa_agent,Bradley_Infantry,0,14921.0,3089.7,Dead,8600,13629,39556,1,Shot At State (Pri),757,1152,1250,70,1, 0, 0
16,Bradley_Infa_agent,Bradley_Infantry,0,15617.5,27774.4,Dead,8600,13629,39556,1,Shot At State (Pri),7406,1104,1250,70,1, 0, 0
17,Red_Inf_Squa_agent,Red_Inf_Squad,0,14199.0,3194.0,Dead,8600,0,0,1,Shot At State (Pri),274,2000,3500,20,1, 0, 0
18,Red_Inf_Squa_agent,Red_Inf_Squad,1,14092.0,3035.0,Dead,8600,0,0,1,Shot At State (Pri),427,2000,3500,20,1, 0, 0
19,Red_Inf_Squa_agent,Red_Inf_Squad,2,15542.6,3266.9,Dead,8600,0,0,1,Shot At State (Pri),565,1922,3468,20,0, 0, 0
20,Red_Inf_Squa_agent,Red_Inf_Squad,3,16039.4,2994.9,Dead,8600,0,0,1,Shot At State (Sec),296,1956,3500,20,1, 0, 0
21,Red_Inf_Squa_agent,Red_Inf_Squad,4,15745.7,3498.1,Dead,8600,0,0,1,Shot At State (Pri),769,1937,3498,20,0, 0, 0
22,Red_Inf_Squa_agent,Red_Inf_Squad,5,14923.7,3190.9,Dead,8600,0,0,1,Shot At State (Sec),303,1980,3495,20,0, 0, 0
23,Red_Inf_Squa_agent,Red_Inf_Squad,6,14891.1,3548.6,Dead,8600,0,0,1,Shot At State (Pri),430,1997,3500,20,1, 0, 0
24,Red_Inf_Squa_agent,Red_Inf_Squad,0,14275.0,3215.0,Dead,8600,0,0,1,Shot At State (Pri),368,2000,3500,20,1, 0, 0
25,Red_Inf_Squa_agent,Red_Inf_Squad,1,13828.3,3091.0,Dead,8600,0,0,1,Shot At State (Pri),1276,1890,3500,20,1, 0, 0
26,Red_Inf_Squa_agent,Red_Inf_Squad,2,15534.0,3266.7,Dead,8600,0,0,1,Shot At State (Pri),510,1913,3447,20,0, 0, 0
27,Red_Inf_Squa_agent,Red_Inf_Squad,3,15554.7,3021.7,Dead,8600,0,0,1,Shot At State (Sec),207,2000,3498,20,1, 0, 0
28,Red_Inf_Squa_agent,Red_Inf_Squad,4,15830.0,3510.6,Dead,8600,0,0,1,Shot At State (Pri),580,1957,3500,20,1, 0, 0
29,Red_Inf_Squa_agent,Red_Inf_Squad,5,14938.9,3352.1,Dead,8600,0,0,1,Shot At State (Sec),331,1988,3500,20,0, 0, 0
30,Red_Inf_Squa_agent,Red_Inf_Squad,6,14908.0,3744.0,Dead,8600,0,0,1,Shot At State (Pri),602,1972,3500,20,1, 0, 0
31,Red_Inf_Squa_agent,Red_Inf_Squad,0,14786.7,3198.5,Dead,8600,0,0,1,Shot At State (Pri),528,1929,3500,20,0, 0, 0
32,Red_Inf_Squa_agent,Red_Inf_Squad,1,13703.7,3068.0,Dead,8600,0,0,1,Shot At State (Pri),1377,1857,3500,20,1, 0, 0
33,M1A2 Abrams _agent,M1A2 Abrams Sep,0,14855.9,25726.2,Dead,1000,15887,28273,1,Squad Taken Shot State (Pri),10324,40,884,4396, 0, 0, 0
34,M1A2 Abrams _agent,M1A2 Abrams Sep,0,13611.5,39748.4,Active,1000,13629,39937,0,Default State,10824,40,848,4388, 0, 0, 0
35,M1A2 Abrams _agent,M1A2 Abrams Sep,0,14773.7,25537.9,Dead,1000,15887,28273,1,Squad Taken Shot State (Pri),10324,42,866,4398, 0, 0, 0
36,M1A2 Abrams _agent,M1A2 Abrams Sep,0,13571.9,39386.9,Active,1000,13629,39937,0,Default State,10824,41,870,4396, 0, 0, 0
37,Company_HQ_agent,Company_HQ,0,28633.0,704.0,Active,999999,0,0,0,Default State,0, 0, 0, 0, 0, 0, 0
38,M109A6 155mm_agent,M109A6 155mm,0,28307.0,644.0,Active,1000,0,0,0,Default State,0,16,16, 0, 0, 0, 0
39,RQ11 Raven_agent,RQ11 Raven,0,8287.3,7485.4,Active,77,5323,1585,0,Default State,8100, 0, 0, 0, 0, 0, 0
40,Bradley_Infa_agent,Bradley_Infantry,0,13341.6,30997.5,Active,8600,13548,39176,0,Default State,12912,1178,1250,70,0, 0, 0
