# MANA Casualty Location Results File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Run Started at 3/21/2013, 9:55:34 PM
RandSeed= -1306696500
ID,x-casualty,y-casualty,time,Cas Squad,Cas Squad ID,Cas alleg,subsquad,state,shooter ID,Squad ID,Sqd name,weapon class,weapon ID,x-shooter,y-shooter,shooter alleg
82
6,15221,2952,81,IED,2,2,0,Default State,9,4,Bradley M2A3,Primary,3,15089,1283,1
29,14926,3404,217,Red_Inf_Squad,6,2,5,Shot At State (Pri),34,7,M1A2 Abrams Sep,Primary,1,15180,1544,1
26,15542,3280,227,Red_Inf_Squad,6,2,2,Shot At State (Sec),35,7,M1A2 Abrams Sep,Secondary,3,15380,3222,1
17,14256,3237,230,Red_Inf_Squad,6,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27633,570,1
31,14253,3189,230,Red_Inf_Squad,6,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27633,570,1
19,15544,3275,237,Red_Inf_Squad,6,2,2,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,19382,1825,1
20,15577,2990,255,Red_Inf_Squad,6,2,3,Shot At State (Sec),35,7,M1A2 Abrams Sep,Secondary,3,15379,3224,1
32,13766,3098,256,Red_Inf_Squad,6,2,1,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27633,570,1
22,14978,3344,282,Red_Inf_Squad,6,2,5,Shot At State (Sec),35,7,M1A2 Abrams Sep,Secondary,2,15369,3222,1
93,14144,3091,318,Red_60mm_mortar,19,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27633,570,1
25,13867,3134,345,Red_Inf_Squad,6,2,1,Shot At State (Pri),61,14,Bradley M2A3,Primary,3,14708,2879,1
28,15876,3504,374,Red_Inf_Squad,6,2,4,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,19294,3270,1
21,15685,3488,412,Red_Inf_Squad,6,2,4,Shot At State (Pri),61,14,Bradley M2A3,Primary,3,14640,2999,1
91,14257,3098,472,Red_60mm_mortar,19,2,0,Shot At State (Pri),46,11,Bradley_Infantry,Primary,1,15060,2725,1
27,15954,3007,486,Red_Inf_Squad,6,2,3,Shot At State (Pri),44,11,Bradley_Infantry,Primary,1,15092,2756,1
23,14879,3875,528,Red_Inf_Squad,6,2,6,Shot At State (Pri),61,14,Bradley M2A3,Primary,3,14579,3132,1
30,14961,3898,550,Red_Inf_Squad,6,2,6,Shot At State (Pri),33,7,M1A2 Abrams Sep,Primary,1,15197,2310,1
92,14074,3157,565,Red_60mm_mortar,19,2,0,Shot At State (Pri),61,14,Bradley M2A3,Primary,1,14548,3149,1
18,13485,3049,768,Red_Inf_Squad,6,2,1,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,2,16639,2488,1
24,14180,3214,810,Red_Inf_Squad,6,2,0,Shot At State (Sec),61,14,Bradley M2A3,Secondary,2,14470,3175,1
5,14971,25496,2860,Minefield,1,2,0,Default State,38,9,M109A6 155mm,Primary,2,27633,570,1
3,15088,25746,3368,Minefield,1,2,0,Default State,7,3,AH64D_AttHeli,Primary,2,12937,24156,1
2,15184,25403,3381,Minefield,1,2,0,Default State,8,3,AH64D_AttHeli,Primary,2,12713,24768,1
4,15129,25681,3422,Minefield,1,2,0,Default State,7,3,AH64D_AttHeli,Primary,3,12958,24503,1
72,13954,26212,3472,Red_Inf_Squad,17,2,1,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,3,12664,26283,1
97,10195,28427,3481,Red_SA18,22,2,0,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,3,12715,26327,1
96,12409,17506,3490,Red_Milan,21,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27633,570,1
100,11334,32524,3495,T-90M,23,2,0,Default State,7,3,AH64D_AttHeli,Primary,2,13078,24789,1
73,15789,25581,3700,Red_Inf_Squad,17,2,0,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,3,14987,22911,1
95,12557,17623,4084,Red_Milan,21,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27633,570,1
110,16321,25394,4876,Red_Milan,26,2,1,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27633,570,1
33,13508,23528,5096,M1A2 Abrams Sep,7,1,0,Squad Taken Shot State (Pri),101,23,T-90M,Primary,3,12148,27910,2
99,12355,26237,5132,T-90M,23,2,0,Squad Taken Shot State (Pri),62,15,Bradley M2A3,Primary,3,13588,22875,1
102,12053,26820,5216,T-90M,23,2,0,Squad Taken Shot State (Pri),61,14,Bradley M2A3,Primary,3,13327,23669,1
101,12361,26806,5379,T-90M,23,2,0,Squad Taken Shot State (Pri),14,5,Bradley_Infantry,Primary,4,12796,24201,1
111,16027,25390,5382,Red_Milan,26,2,1,Shot At State (Pri),63,16,Bradley M2A3,Primary,3,13076,24770,1
98,10210,28110,6156,Red_SA18,22,2,0,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,2,13179,23362,1
94,11254,28551,6371,Red_M120mm_mortar,20,2,0,Taken Shot State (Pri),7,3,AH64D_AttHeli,Primary,2,13284,23543,1
108,14194,29857,6666,Red_Milan,26,2,0,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,3,13351,23523,1
68,14739,26175,7564,Red_Inf_Squad,17,2,1,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,13654,23328,1
71,14293,26055,7665,Red_Inf_Squad,17,2,1,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,3,13905,24171,1
109,14201,29890,7678,Red_Milan,26,2,0,Shot At State (Pri),36,7,M1A2 Abrams Sep,Primary,1,14867,26159,1
86,13237,30910,7679,Red_Inf_Squad,18,2,1,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,13871,24439,1
66,14502,26218,7713,Red_Inf_Squad,17,2,1,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,14000,25140,1
65,14263,26228,7782,Red_Inf_Squad,17,2,1,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,13412,24938,1
70,14448,26275,7831,Red_Inf_Squad,17,2,1,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,3,13598,24978,1
106,15099,32166,7966,Red_AGS30_Squad,25,2,0,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,2,14548,25033,1
67,13843,26097,7992,Red_Inf_Squad,17,2,1,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,3,14525,25002,1
40,14826,25687,9339,Bradley_Infantry,11,1,0,Shot At State (Pri),1,1,Minefield,Primary,1,14907,25666,2
41,14826,25687,9339,Bradley_Infantry,11,1,0,Shot At State (Pri),1,1,Minefield,Primary,1,14907,25666,2
42,14826,25687,9339,Bradley_Infantry,11,1,0,Shot At State (Pri),1,1,Minefield,Primary,1,14907,25666,2
43,14826,25687,9339,Bradley_Infantry,11,1,0,Shot At State (Pri),1,1,Minefield,Primary,1,14907,25666,2
44,14826,25687,9339,Bradley_Infantry,11,1,0,Shot At State (Pri),1,1,Minefield,Primary,1,14907,25666,2
45,14826,25687,9339,Bradley_Infantry,11,1,0,Shot At State (Pri),1,1,Minefield,Primary,1,14907,25666,2
46,14826,25687,9339,Bradley_Infantry,11,1,0,Shot At State (Pri),1,1,Minefield,Primary,1,14907,25666,2
61,14826,25687,9339,Bradley M2A3,14,1,0,Shot At State (Pri),1,1,Minefield,Primary,1,14907,25666,2
64,15569,25998,9417,Red_Inf_Squad,17,2,0,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,3,14647,25347,1
80,13273,30888,9479,Red_Inf_Squad,18,2,1,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,14563,25298,1
74,15749,25697,9684,Red_Inf_Squad,17,2,0,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,3,14656,25596,1
69,15798,26219,9702,Red_Inf_Squad,17,2,0,Shot At State (Pri),62,15,Bradley M2A3,Primary,1,15231,26413,1
85,14591,31731,9712,Red_Inf_Squad,18,2,0,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,14153,25318,1
77,14488,31675,10084,Red_Inf_Squad,18,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27633,570,1
87,14541,31659,10142,Red_Inf_Squad,18,2,0,Shot At State (Pri),36,7,M1A2 Abrams Sep,Primary,1,15268,30092,1
