# MANA MultiRun Summary File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Scenario,F:\SE311-114G\MANA_version5_31st_Jan_2013\ThesisScenario_3_12.xml
# MultiRun Started,4/8/2013,5:02:53 PM
Run,Seed,Alleg1Cas(Blue),Alleg2Cas(Red),Alleg0Cas(Neutral),Blue Reach Goal,Red Reach Goal,Neutral Reach Goal,Steps, Sqd1Cas, Sqd2Cas, Sqd3Cas, Sqd4Cas, Sqd5Cas, Sqd6Cas, Sqd7Cas, Sqd8Cas, Sqd9Cas, Sqd10Cas, Sqd11Cas, Sqd12Cas, Sqd13Cas, Sqd14Cas, Sqd15Cas, Sqd16Cas, Sqd17Cas, Sqd18Cas, Sqd19Cas, Sqd20Cas, Sqd21Cas, Sqd22Cas, Sqd23Cas, Sqd24Cas, Sqd25Cas, Sqd26Cas, Sqd1Inj, Sqd2Inj, Sqd3Inj, Sqd4Inj, Sqd5Inj, Sqd6Inj, Sqd7Inj, Sqd8Inj, Sqd9Inj, Sqd10Inj, Sqd11Inj, Sqd12Inj, Sqd13Inj, Sqd14Inj, Sqd15Inj, Sqd16Inj, Sqd17Inj, Sqd18Inj, Sqd19Inj, Sqd20Inj, Sqd21Inj, Sqd22Inj, Sqd23Inj, Sqd24Inj, Sqd25Inj, Sqd26Inj
1,-1405573528,20,66,0,No,No,Yes,19134, 5, 1, 2, 0, 6, 16, 0, 0, 0, 1, 2, 5, 4, 0, 0, 0, 10, 16, 3, 1, 2, 1, 4, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2,1107665950,9,59,0,No,No,Yes,18763, 2, 1, 2, 0, 0, 16, 1, 0, 0, 0, 0, 4, 2, 0, 0, 0, 7, 16, 3, 1, 2, 1, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3,-1549613191,29,60,0,No,No,No,50000, 5, 1, 2, 1, 3, 16, 4, 0, 0, 0, 5, 4, 7, 1, 1, 1, 10, 12, 3, 1, 2, 0, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4,1270228492,29,52,0,No,No,Yes,10695, 4, 1, 2, 1, 1, 16, 1, 0, 0, 0, 7, 7, 7, 1, 1, 1, 9, 8, 3, 0, 1, 0, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5,-876039614,10,67,0,No,No,Yes,18229, 6, 1, 0, 0, 4, 16, 3, 0, 0, 0, 1, 2, 0, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 1, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6,-432100450,22,65,0,No,No,Yes,15883, 2, 1, 0, 1, 7, 16, 1, 0, 0, 1, 2, 7, 1, 1, 1, 0, 11, 16, 3, 1, 2, 2, 4, 0, 3, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7,-834870416,9,62,0,No,No,Yes,15938, 3, 1, 1, 0, 3, 16, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 11, 16, 3, 1, 2, 1, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8,136692666,20,66,0,No,No,Yes,13342, 6, 1, 2, 1, 0, 16, 0, 0, 0, 0, 2, 7, 7, 0, 0, 1, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9,-421656902,19,63,0,No,No,Yes,18202, 5, 1, 2, 0, 1, 16, 1, 0, 0, 0, 7, 6, 1, 1, 0, 0, 9, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10,-1902326299,23,64,0,No,No,Yes,15700, 2, 1, 1, 0, 7, 16, 0, 0, 0, 0, 7, 7, 1, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11,-672239645,18,63,0,No,No,Yes,13008, 4, 1, 0, 1, 7, 15, 1, 0, 0, 0, 0, 7, 0, 1, 1, 0, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12,1307628254,17,66,0,No,No,Yes,14442, 6, 1, 0, 1, 7, 16, 0, 0, 0, 0, 5, 1, 3, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13,1229306855,18,68,0,No,No,Yes,17259, 6, 1, 2, 0, 1, 16, 0, 0, 0, 0, 0, 7, 6, 1, 1, 0, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14,813642866,19,65,0,No,No,Yes,14581, 5, 1, 0, 1, 4, 16, 0, 0, 0, 0, 3, 7, 2, 1, 1, 0, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15,-1838562750,21,61,0,No,No,Yes,12842, 5, 1, 2, 0, 0, 16, 1, 0, 0, 0, 1, 7, 7, 1, 1, 1, 8, 16, 3, 1, 2, 1, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16,-199212843,20,66,0,No,No,Yes,20244, 5, 1, 1, 1, 4, 16, 0, 0, 0, 1, 7, 5, 1, 0, 0, 0, 11, 16, 3, 1, 2, 1, 4, 0, 2, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17,-1323171343,7,62,0,No,No,Yes,15062, 6, 1, 2, 0, 0, 16, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 11, 12, 3, 1, 2, 0, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18,2017960755,17,68,0,No,No,Yes,14924, 5, 1, 2, 0, 3, 16, 0, 0, 0, 0, 3, 7, 0, 0, 1, 1, 11, 16, 3, 1, 2, 2, 4, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19,1277134287,14,65,0,No,No,Yes,17049, 3, 1, 1, 0, 4, 16, 0, 0, 0, 0, 4, 3, 2, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20,1941605226,20,66,0,No,No,Yes,10985, 5, 1, 0, 1, 7, 16, 0, 0, 0, 0, 4, 7, 0, 0, 1, 0, 11, 16, 3, 1, 2, 2, 4, 0, 1, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21,-1719261506,25,66,0,No,No,Yes,16482, 6, 1, 1, 0, 4, 16, 1, 0, 0, 1, 3, 7, 7, 0, 0, 1, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22,1389292694,15,64,0,No,No,Yes,16083, 6, 1, 2, 1, 7, 15, 0, 0, 0, 0, 3, 1, 1, 0, 0, 0, 11, 16, 3, 1, 2, 1, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23,-983437642,29,53,0,No,No,Yes,9142, 6, 1, 0, 1, 3, 16, 0, 0, 0, 1, 7, 7, 7, 1, 1, 1, 4, 7, 3, 1, 2, 1, 4, 0, 4, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24,1938680827,19,58,0,No,No,Yes,14090, 6, 1, 2, 1, 6, 15, 1, 0, 0, 0, 5, 2, 1, 1, 0, 0, 10, 13, 3, 0, 2, 0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
25,-324528012,25,64,0,No,No,Yes,10733, 5, 1, 0, 1, 7, 16, 1, 0, 0, 0, 5, 7, 3, 0, 1, 0, 11, 16, 3, 1, 1, 2, 4, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
26,768945660,19,58,0,No,No,Yes,8629, 5, 1, 1, 1, 7, 16, 1, 0, 0, 0, 4, 1, 3, 0, 1, 0, 8, 10, 3, 0, 2, 1, 4, 0, 4, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27,1622162487,17,61,0,No,No,Yes,14068, 4, 1, 2, 0, 0, 16, 2, 0, 0, 0, 4, 1, 7, 0, 0, 1, 9, 16, 3, 1, 1, 0, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28,900136373,4,66,0,No,No,Yes,18168, 6, 1, 1, 0, 1, 16, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
29,1159772464,12,65,0,No,No,Yes,16560, 5, 1, 2, 0, 5, 16, 1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 11, 16, 3, 1, 1, 1, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
