# MANA Casualty Location Results File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Run Started at 4/8/2013, 10:55:08 PM
RandSeed= -1190896020
ID,x-casualty,y-casualty,time,Cas Squad,Cas Squad ID,Cas alleg,subsquad,state,shooter ID,Squad ID,Sqd name,weapon class,weapon ID,x-shooter,y-shooter,shooter alleg
82
6,15221,2952,120,IED,2,2,0,Default State,33,7,M1A2 Abrams Sep,Primary,1,15166,1089,1
59,15396,2462,193,Bradley_Infantry,13,1,0,Shot At State (Pri),22,6,Red_Inf_Squad,Primary,1,14913,3359,2
27,15651,3020,197,Red_Inf_Squad,6,2,3,Shot At State (Sec),63,16,Bradley M2A3,Secondary,2,15439,2439,1
31,14526,3233,208,Red_Inf_Squad,6,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27815,421,1
20,15834,3027,226,Red_Inf_Squad,6,2,3,Shot At State (Sec),63,16,Bradley M2A3,Secondary,2,15488,2656,1
91,14349,3144,233,Red_60mm_mortar,19,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27815,421,1
17,14123,3221,240,Red_Inf_Squad,6,2,0,Shot At State (Pri),61,14,Bradley M2A3,Primary,3,15785,2698,1
26,15545,3279,252,Red_Inf_Squad,6,2,2,Shot At State (Sec),63,16,Bradley M2A3,Secondary,2,15460,2764,1
22,14913,3359,259,Red_Inf_Squad,6,2,5,Shot At State (Sec),63,16,Bradley M2A3,Secondary,2,15461,2765,1
19,15542,3278,264,Red_Inf_Squad,6,2,2,Shot At State (Pri),55,13,Bradley_Infantry,Primary,1,15372,2558,1
32,14089,3061,265,Red_Inf_Squad,6,2,1,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,2,16357,2376,1
29,14934,3362,268,Red_Inf_Squad,6,2,5,Shot At State (Sec),63,16,Bradley M2A3,Secondary,2,15469,2789,1
28,15836,3491,272,Red_Inf_Squad,6,2,4,Shot At State (Sec),63,16,Bradley M2A3,Secondary,2,15478,2815,1
21,15849,3504,278,Red_Inf_Squad,6,2,4,Shot At State (Pri),63,16,Bradley M2A3,Primary,1,15507,2860,1
30,14977,3468,281,Red_Inf_Squad,6,2,6,Shot At State (Sec),63,16,Bradley M2A3,Secondary,2,15522,2882,1
23,14871,3688,333,Red_Inf_Squad,6,2,6,Shot At State (Sec),61,14,Bradley M2A3,Secondary,2,15412,3365,1
93,13978,3083,355,Red_60mm_mortar,19,2,0,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,16557,2227,1
92,14040,3093,420,Red_60mm_mortar,19,2,0,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,1,15263,2630,1
24,14109,3184,435,Red_Inf_Squad,6,2,0,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,15994,2471,1
25,14144,3109,443,Red_Inf_Squad,6,2,1,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,15939,2500,1
18,13756,3081,501,Red_Inf_Squad,6,2,1,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,15532,2401,1
5,15029,25370,3276,Minefield,1,2,0,Default State,38,9,M109A6 155mm,Primary,2,27815,421,1
0,14897,25578,3293,Minefield,1,2,0,Default State,38,9,M109A6 155mm,Primary,2,27815,421,1
1,14982,25553,3301,Minefield,1,2,0,Default State,38,9,M109A6 155mm,Primary,2,27815,421,1
2,14921,25448,3313,Minefield,1,2,0,Default State,38,9,M109A6 155mm,Primary,2,27815,421,1
95,12344,17627,3614,Red_Milan,21,2,0,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,1,13044,17178,1
