# MANA Casualty Location Results File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Run Started at 4/9/2013, 11:13:28 AM
RandSeed= -440407042
ID,x-casualty,y-casualty,time,Cas Squad,Cas Squad ID,Cas alleg,subsquad,state,shooter ID,Squad ID,Sqd name,weapon class,weapon ID,x-shooter,y-shooter,shooter alleg
84
6,15221,2952,107,IED,2,2,0,Default State,33,7,M1A2 Abrams Sep,Primary,1,15290,1388,1
24,14179,3243,107,Red_Inf_Squad,6,2,0,Shot At State (Pri),36,7,M1A2 Abrams Sep,Primary,1,15255,1487,1
12,15132,1814,119,Bradley_Infantry,5,1,0,Shot At State (Pri),93,19,Red_60mm_mortar,Primary,1,14104,3080,2
14,15066,1922,188,Bradley_Infantry,5,1,0,Shot At State (Pri),91,19,Red_60mm_mortar,Primary,1,14193,3078,2
91,14193,3078,227,Red_60mm_mortar,19,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27912,389,1
32,13864,3117,253,Red_Inf_Squad,6,2,1,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27912,389,1
92,13990,3161,283,Red_60mm_mortar,19,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27912,389,1
20,15766,2983,314,Red_Inf_Squad,6,2,3,Shot At State (Sec),61,14,Bradley M2A3,Secondary,2,15536,2234,1
19,15542,3279,320,Red_Inf_Squad,6,2,2,Shot At State (Sec),61,14,Bradley M2A3,Secondary,2,15611,2288,1
27,16050,3008,327,Red_Inf_Squad,6,2,3,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,3,18620,1559,1
26,15544,3277,338,Red_Inf_Squad,6,2,2,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,2,17461,2274,1
22,14951,3326,373,Red_Inf_Squad,6,2,5,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,2,17333,2223,1
23,14904,3469,384,Red_Inf_Squad,6,2,6,Shot At State (Pri),34,7,M1A2 Abrams Sep,Primary,1,15264,2049,1
31,14213,3213,395,Red_Inf_Squad,6,2,0,Shot At State (Pri),49,12,Bradley_Infantry,Primary,4,15093,2314,1
29,14952,3396,413,Red_Inf_Squad,6,2,5,Shot At State (Sec),61,14,Bradley M2A3,Secondary,2,15897,2953,1
30,14943,3493,414,Red_Inf_Squad,6,2,6,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27912,389,1
21,15862,3562,458,Red_Inf_Squad,6,2,4,Shot At State (Sec),61,14,Bradley M2A3,Secondary,2,15899,3019,1
93,14104,3080,485,Red_60mm_mortar,19,2,0,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,2,16511,2398,1
25,13965,3035,522,Red_Inf_Squad,6,2,1,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,2,16231,2364,1
28,15977,3536,547,Red_Inf_Squad,6,2,4,Shot At State (Sec),61,14,Bradley M2A3,Secondary,2,15938,3060,1
17,14114,3156,652,Red_Inf_Squad,6,2,0,Shot At State (Pri),11,5,Bradley_Infantry,Primary,1,14654,2781,1
18,13696,3109,954,Red_Inf_Squad,6,2,1,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,15267,2479,1
36,13742,15062,3513,M1A2 Abrams Sep,7,1,0,Default State,95,21,Red_Milan,Primary,1,12407,17492,2
95,12407,17492,3528,Red_Milan,21,2,0,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,13587,13260,1
34,13698,16492,3586,M1A2 Abrams Sep,7,1,0,Default State,96,21,Red_Milan,Primary,1,12238,17618,2
96,12238,17618,3606,Red_Milan,21,2,0,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,13731,13812,1
0,15116,25769,3953,Minefield,1,2,0,Default State,7,3,AH64D_AttHeli,Primary,2,14259,21258,1
1,15099,25737,3953,Minefield,1,2,0,Default State,7,3,AH64D_AttHeli,Primary,2,14259,21258,1
75,14498,31358,3963,Red_Inf_Squad,18,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27912,389,1
5,14858,25417,4191,Minefield,1,2,0,Default State,7,3,AH64D_AttHeli,Primary,2,14037,22696,1
86,13682,30701,4283,Red_Inf_Squad,18,2,1,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27912,389,1
2,15027,25535,4315,Minefield,1,2,0,Default State,7,3,AH64D_AttHeli,Primary,3,14098,23417,1
109,14473,29872,4345,Red_Milan,26,2,0,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,13407,22157,1
61,14349,24733,4506,Bradley M2A3,14,1,0,Shot At State (Pri),110,26,Red_Milan,Primary,1,16213,25348,2
8,12866,24636,4534,AH64D_AttHeli,3,1,0,Injured State,98,22,Red_SA18,Primary,1,10240,28148,2
74,14294,26181,4595,Red_Inf_Squad,17,2,1,Shot At State (Pri),63,16,Bradley M2A3,Primary,1,14001,25351,1
63,13953,25462,4614,Bradley M2A3,16,1,0,Shot At State (Pri),101,23,T-90M,Primary,3,12080,29954,2
110,16213,25348,4665,Red_Milan,26,2,1,Shot At State (Pri),62,15,Bradley M2A3,Primary,3,13582,24685,1
33,14073,25170,4725,M1A2 Abrams Sep,7,1,0,Default State,101,23,T-90M,Primary,3,12182,29454,2
71,14117,26232,4818,Red_Inf_Squad,17,2,1,Shot At State (Pri),41,11,Bradley_Infantry,Primary,4,14376,25034,1
35,14034,25603,4950,M1A2 Abrams Sep,7,1,0,Default State,102,23,T-90M,Primary,3,12105,29566,2
100,11860,29065,5046,T-90M,23,2,0,Squad Taken Shot State (Pri),9,4,Bradley M2A3,Primary,3,13145,26103,1
101,12262,28558,5127,T-90M,23,2,0,Squad Taken Shot State (Pri),62,15,Bradley M2A3,Primary,3,13170,26088,1
99,11984,29372,5258,T-90M,23,2,0,Squad Taken Shot State (Pri),62,15,Bradley M2A3,Primary,3,13146,26221,1
102,12065,29360,5323,T-90M,23,2,0,Squad Taken Shot State (Pri),62,15,Bradley M2A3,Primary,3,13128,26270,1
54,14346,25331,5377,Bradley_Infantry,13,1,0,Shot At State (Pri),66,17,Red_Inf_Squad,Primary,1,14601,26310,2
60,14494,25129,5391,Bradley_Infantry,13,1,0,Shot At State (Pri),73,17,Red_Inf_Squad,Primary,1,14584,26317,2
73,14552,26296,5570,Red_Inf_Squad,17,2,1,Shot At State (Pri),45,11,Bradley_Infantry,Primary,4,14443,25142,1
66,14566,26286,5570,Red_Inf_Squad,17,2,1,Shot At State (Pri),45,11,Bradley_Infantry,Primary,4,14443,25142,1
72,15448,25515,6504,Red_Inf_Squad,17,2,0,Shot At State (Pri),40,11,Bradley_Infantry,Primary,1,14425,25443,1
46,14535,25175,6574,Bradley_Infantry,11,1,0,Shot At State (Pri),65,17,Red_Inf_Squad,Primary,1,15418,25619,2
68,15392,25540,6863,Red_Inf_Squad,17,2,0,Shot At State (Pri),43,11,Bradley_Infantry,Primary,4,14178,25277,1
65,15360,25618,6890,Red_Inf_Squad,17,2,0,Shot At State (Pri),43,11,Bradley_Infantry,Primary,1,14211,25282,1
98,10240,28148,8048,Red_SA18,22,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27912,389,1
9,12743,26294,8113,Bradley M2A3,4,1,0,Shot At State (Pri),94,20,Red_M120mm_mortar,Primary,1,11087,28830,2
