# MANA MultiRun Summary File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Scenario,F:\SE311-114G\MANA_version5_31st_Jan_2013\ThesisScenario_3_12.xml
# MultiRun Started,4/9/2013,6:18:24 AM
Run,Seed,Alleg1Cas(Blue),Alleg2Cas(Red),Alleg0Cas(Neutral),Blue Reach Goal,Red Reach Goal,Neutral Reach Goal,Steps, Sqd1Cas, Sqd2Cas, Sqd3Cas, Sqd4Cas, Sqd5Cas, Sqd6Cas, Sqd7Cas, Sqd8Cas, Sqd9Cas, Sqd10Cas, Sqd11Cas, Sqd12Cas, Sqd13Cas, Sqd14Cas, Sqd15Cas, Sqd16Cas, Sqd17Cas, Sqd18Cas, Sqd19Cas, Sqd20Cas, Sqd21Cas, Sqd22Cas, Sqd23Cas, Sqd24Cas, Sqd25Cas, Sqd26Cas, Sqd1Inj, Sqd2Inj, Sqd3Inj, Sqd4Inj, Sqd5Inj, Sqd6Inj, Sqd7Inj, Sqd8Inj, Sqd9Inj, Sqd10Inj, Sqd11Inj, Sqd12Inj, Sqd13Inj, Sqd14Inj, Sqd15Inj, Sqd16Inj, Sqd17Inj, Sqd18Inj, Sqd19Inj, Sqd20Inj, Sqd21Inj, Sqd22Inj, Sqd23Inj, Sqd24Inj, Sqd25Inj, Sqd26Inj
1,1167092975,8,63,0,No,No,Yes,11944, 5, 1, 2, 1, 0, 16, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 10, 14, 3, 1, 2, 2, 4, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2,480552024,25,61,0,No,No,Yes,11061, 5, 1, 2, 1, 7, 16, 1, 0, 0, 0, 5, 7, 0, 0, 1, 1, 8, 16, 3, 1, 2, 1, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3,853155175,15,65,0,No,No,Yes,16320, 5, 1, 1, 0, 7, 16, 1, 0, 0, 1, 1, 2, 2, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4,200520531,12,62,0,No,No,Yes,14191, 4, 1, 2, 0, 0, 14, 0, 0, 0, 0, 0, 7, 0, 1, 1, 1, 11, 16, 3, 1, 2, 1, 4, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5,-1031914017,22,59,0,No,No,Yes,13756, 4, 1, 2, 1, 7, 16, 0, 0, 0, 1, 3, 7, 0, 0, 1, 0, 6, 16, 3, 1, 2, 0, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6,-1848835320,13,68,0,No,No,Yes,12668, 6, 1, 2, 0, 0, 16, 0, 0, 0, 0, 7, 2, 1, 1, 0, 0, 11, 16, 3, 1, 2, 0, 4, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7,286838073,21,64,0,No,No,Yes,18304, 5, 1, 1, 0, 3, 15, 0, 0, 0, 0, 6, 7, 3, 0, 0, 1, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8,713552469,4,66,0,No,No,Yes,11811, 6, 1, 0, 1, 2, 16, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 11, 16, 3, 1, 2, 0, 4, 0, 2, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9,-617274745,9,63,0,No,No,Yes,18249, 5, 1, 2, 0, 7, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 16, 3, 1, 2, 1, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10,622924962,7,58,0,No,No,Yes,9942, 6, 1, 0, 1, 0, 16, 0, 0, 0, 1, 0, 2, 0, 1, 1, 1, 11, 11, 3, 0, 2, 0, 4, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
