# MANA Casualty Location Results File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Run Started at 4/9/2013, 6:33:50 AM
RandSeed= 480552024
ID,x-casualty,y-casualty,time,Cas Squad,Cas Squad ID,Cas alleg,subsquad,state,shooter ID,Squad ID,Sqd name,weapon class,weapon ID,x-shooter,y-shooter,shooter alleg
86
6,15221,2952,88,IED,2,2,0,Default State,33,7,M1A2 Abrams Sep,Primary,1,15197,1221,1
32,13904,3015,99,Red_Inf_Squad,6,2,1,Shot At State (Pri),34,7,M1A2 Abrams Sep,Primary,1,15432,1275,1
21,15963,3462,106,Red_Inf_Squad,6,2,4,Shot At State (Pri),36,7,M1A2 Abrams Sep,Primary,1,15280,1155,1
14,15068,1605,125,Bradley_Infantry,5,1,0,Shot At State (Pri),92,19,Red_60mm_mortar,Primary,1,14253,3118,2
93,14026,3110,211,Red_60mm_mortar,19,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27994,349,1
25,14137,3073,244,Red_Inf_Squad,6,2,1,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27994,349,1
24,14109,3161,245,Red_Inf_Squad,6,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27994,349,1
20,15984,3039,278,Red_Inf_Squad,6,2,3,Shot At State (Sec),62,15,Bradley M2A3,Secondary,2,15794,2744,1
92,14253,3118,286,Red_60mm_mortar,19,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27994,349,1
26,15543,3277,290,Red_Inf_Squad,6,2,2,Shot At State (Pri),62,15,Bradley M2A3,Primary,3,15802,2838,1
28,15622,3491,299,Red_Inf_Squad,6,2,4,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,27994,349,1
30,14969,3501,318,Red_Inf_Squad,6,2,6,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,3,18398,2218,1
22,14916,3346,341,Red_Inf_Squad,6,2,5,Shot At State (Pri),62,15,Bradley M2A3,Primary,3,15820,2991,1
19,15543,3278,351,Red_Inf_Squad,6,2,2,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,18624,1431,1
27,16097,2978,365,Red_Inf_Squad,6,2,3,Shot At State (Pri),48,12,Bradley_Infantry,Primary,1,15698,2872,1
23,14948,3789,413,Red_Inf_Squad,6,2,6,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,2,17754,2180,1
51,15243,3106,553,Bradley_Infantry,12,1,0,Shot At State (Pri),29,6,Red_Inf_Squad,Primary,1,14903,3331,2
17,14715,3250,559,Red_Inf_Squad,6,2,0,Shot At State (Pri),40,11,Bradley_Infantry,Primary,1,15196,2373,1
91,14299,3079,587,Red_60mm_mortar,19,2,0,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,2,16659,1979,1
29,14903,3330,640,Red_Inf_Squad,6,2,5,Shot At State (Pri),53,12,Bradley_Infantry,Primary,1,15156,3096,1
31,14331,3180,749,Red_Inf_Squad,6,2,0,Shot At State (Pri),13,5,Bradley_Infantry,Primary,1,14726,2740,1
18,13509,3050,1187,Red_Inf_Squad,6,2,1,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,14875,2532,1
4,14899,25439,3222,Minefield,1,2,0,Default State,38,9,M109A6 155mm,Primary,2,27994,349,1
1,15205,25693,3511,Minefield,1,2,0,Default State,38,9,M109A6 155mm,Primary,2,27994,349,1
96,12526,17577,3572,Red_Milan,21,2,0,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,1,12334,17780,1
95,12397,17530,3587,Red_Milan,21,2,0,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,1,12432,17884,1
