# MANA MultiRun Summary File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Scenario,F:\SE311-114G\MANA_version5_31st_Jan_2013\ThesisScenario_3_12.xml
# MultiRun Started,4/24/2013,7:43:19 PM
Run,Seed,Alleg1Cas(Blue),Alleg2Cas(Red),Alleg0Cas(Neutral),Blue Reach Goal,Red Reach Goal,Neutral Reach Goal,Steps, Sqd1Cas, Sqd2Cas, Sqd3Cas, Sqd4Cas, Sqd5Cas, Sqd6Cas, Sqd7Cas, Sqd8Cas, Sqd9Cas, Sqd10Cas, Sqd11Cas, Sqd12Cas, Sqd13Cas, Sqd14Cas, Sqd15Cas, Sqd16Cas, Sqd17Cas, Sqd18Cas, Sqd19Cas, Sqd20Cas, Sqd21Cas, Sqd22Cas, Sqd23Cas, Sqd24Cas, Sqd25Cas, Sqd26Cas, Sqd1Inj, Sqd2Inj, Sqd3Inj, Sqd4Inj, Sqd5Inj, Sqd6Inj, Sqd7Inj, Sqd8Inj, Sqd9Inj, Sqd10Inj, Sqd11Inj, Sqd12Inj, Sqd13Inj, Sqd14Inj, Sqd15Inj, Sqd16Inj, Sqd17Inj, Sqd18Inj, Sqd19Inj, Sqd20Inj, Sqd21Inj, Sqd22Inj, Sqd23Inj, Sqd24Inj, Sqd25Inj, Sqd26Inj
1,-828231271,1,58,0,No,No,Yes,15435, 5, 1, 0, 0, 0, 16, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 3, 0, 2, 1, 4, 0, 2, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2,-1368831321,3,45,0,No,No,Yes,15018, 5, 1, 1, 0, 0, 16, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 3, 0, 2, 0, 4, 0, 4, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3,-1511804287,6,45,0,No,No,No,50000, 4, 1, 2, 0, 0, 16, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 3, 3, 1, 2, 0, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4,665366952,3,49,0,No,No,Yes,11399, 4, 1, 2, 0, 0, 16, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 3, 0, 2, 0, 4, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5,600675380,10,34,0,No,No,No,50000, 6, 1, 0, 0, 1, 16, 4, 0, 0, 1, 2, 2, 0, 0, 0, 0, 2, 0, 3, 0, 2, 0, 2, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6,-1099979196,1,55,0,No,No,Yes,22080, 5, 1, 0, 0, 0, 16, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 11, 3, 1, 2, 0, 4, 0, 2, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7,1760085484,3,60,0,No,No,Yes,19445, 5, 1, 2, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 8, 12, 3, 1, 2, 1, 4, 0, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8,-2101409317,6,55,0,No,No,Yes,19827, 4, 1, 1, 0, 1, 16, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 9, 7, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9,2141459158,4,54,0,No,No,Yes,25304, 5, 1, 0, 0, 0, 16, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 7, 10, 3, 1, 2, 0, 4, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10,-339888103,6,48,0,No,No,No,50000, 5, 1, 2, 0, 0, 16, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 3, 1, 2, 0, 4, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
