# MANA Agent End State Results File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Run Started at 4/24/2013, 9:19:20 PM
RandSeed= 1083200215
ID,name,squad,subsquad,x,y,status,fuel,goalx,goaly,hits,state,trig_step,ammo1,ammo2,ammo3,ammo4,ammo5,ammo6
0,Minefield_agent,Minefield,0,15204.0,25641.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
1,Minefield_agent,Minefield,0,14828.0,25604.0,Active,1000,0,0,0,Default State,0,1, 0, 0, 0, 0, 0
2,Minefield_agent,Minefield,0,15044.0,25574.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
3,Minefield_agent,Minefield,0,15090.0,25626.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
4,Minefield_agent,Minefield,0,15059.0,25729.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
5,Minefield_agent,Minefield,0,14888.0,25429.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
6,IED_agent,IED,0,15221.0,2952.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
7,AH64D_AttHel_agent,AH64D_AttHeli,0,12051.9,17351.9,Dead,50380,2419,2853,2,Injured State,4169,1190,5,38, 0, 0, 0
8,AH64D_AttHel_agent,AH64D_AttHeli,0,10520.1,12550.1,Injured,195,2419,2853,1,Default State,6967,1194,8,16, 0, 0, 0
9,Bradley M2A3_agent,Bradley M2A3,0,11807.3,15192.2,Active,1000,13790,10333,0,Default State,2209,900,4400,4, 0, 0, 0
10,Bradley_Infa_agent,Bradley_Infantry,0,11807.3,15192.2,Active,8600,13629,39556,0,Reach Dynamic Waypoint State,715,1200,1250,70,1, 0, 0
11,Bradley_Infa_agent,Bradley_Infantry,0,11807.3,15192.2,Active,8600,13629,39556,0,Reach Dynamic Waypoint State,1063,1200,1250,70,1, 0, 0
12,Bradley_Infa_agent,Bradley_Infantry,0,11807.3,15192.2,Active,8600,13629,39556,0,Default State,0,1200,1250,70,1, 0, 0
13,Bradley_Infa_agent,Bradley_Infantry,0,11807.3,15192.2,Active,8600,13629,39556,0,Default State,0,1200,1250,70,1, 0, 0
14,Bradley_Infa_agent,Bradley_Infantry,0,11807.3,15192.2,Active,8600,13629,39556,0,Reach Dynamic Waypoint State,1911,1200,1250,70,1, 0, 0
15,Bradley_Infa_agent,Bradley_Infantry,0,11807.3,15192.2,Active,8600,13629,39556,0,Reach Dynamic Waypoint State,1881,1200,1250,70,1, 0, 0
16,Bradley_Infa_agent,Bradley_Infantry,0,11807.3,15192.2,Active,8600,13629,39556,0,Reach Dynamic Waypoint State,842,1200,1250,70,1, 0, 0
17,Red_Inf_Squa_agent,Red_Inf_Squad,0,14080.1,3182.5,Dead,8600,0,0,1,Shot At State (Sec),1174,1838,3500,20,1, 0, 0
