# MANA Casualty Location Results File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Run Started at 4/24/2013, 7:46:37 PM
RandSeed= -1368831321
ID,x-casualty,y-casualty,time,Cas Squad,Cas Squad ID,Cas alleg,subsquad,state,shooter ID,Squad ID,Sqd name,weapon class,weapon ID,x-shooter,y-shooter,shooter alleg
48
6,15221,2952,40,IED,2,2,0,Default State,63,16,Bradley M2A3,Primary,3,14902,466,1
93,14112,3071,201,Red_60mm_mortar,19,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,28132,949,1
91,14184,3117,245,Red_60mm_mortar,19,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,28132,949,1
29,14979,3190,268,Red_Inf_Squad,6,2,5,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,2,16838,2338,1
92,14332,3087,293,Red_60mm_mortar,19,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,28132,949,1
25,13610,3037,316,Red_Inf_Squad,6,2,1,Shot At State (Pri),63,16,Bradley M2A3,Primary,3,14786,1439,1
22,14913,3319,329,Red_Inf_Squad,6,2,5,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,28132,949,1
18,14070,3058,333,Red_Inf_Squad,6,2,1,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,28132,949,1
27,15860,2997,335,Red_Inf_Squad,6,2,3,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,18583,1539,1
20,15872,2994,335,Red_Inf_Squad,6,2,3,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,18583,1539,1
23,14946,3578,390,Red_Inf_Squad,6,2,6,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,19563,1251,1
24,14473,3231,439,Red_Inf_Squad,6,2,0,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,19223,1391,1
28,15919,3563,615,Red_Inf_Squad,6,2,4,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,3,17907,1714,1
26,15546,3271,686,Red_Inf_Squad,6,2,2,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,17376,1797,1
19,15538,3270,686,Red_Inf_Squad,6,2,2,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,17376,1797,1
21,15747,3515,698,Red_Inf_Squad,6,2,4,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,3,15936,2086,1
17,14499,3212,764,Red_Inf_Squad,6,2,0,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,3,17121,1917,1
31,14480,3194,904,Red_Inf_Squad,6,2,0,Shot At State (Pri),61,14,Bradley M2A3,Primary,3,14797,1731,1
30,14910,3911,2328,Red_Inf_Squad,6,2,6,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,14659,2724,1
32,13466,3029,2380,Red_Inf_Squad,6,2,1,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,3,14478,2875,1
1,15053,25632,3214,Minefield,1,2,0,Default State,38,9,M109A6 155mm,Primary,2,28132,949,1
2,15188,25397,3289,Minefield,1,2,0,Default State,38,9,M109A6 155mm,Primary,2,28132,949,1
4,14913,25458,3404,Minefield,1,2,0,Default State,38,9,M109A6 155mm,Primary,2,28132,949,1
0,14919,25486,3405,Minefield,1,2,0,Default State,38,9,M109A6 155mm,Primary,2,28132,949,1
96,12266,17615,3902,Red_Milan,21,2,0,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,1,11852,17326,1
95,12311,17495,3913,Red_Milan,21,2,0,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,1,12119,17059,1
3,15015,25519,4731,Minefield,1,2,0,Default State,8,3,AH64D_AttHeli,Primary,3,11293,24093,1
100,11079,30934,5022,T-90M,23,2,0,Default State,8,3,AH64D_AttHeli,Primary,2,11383,24981,1
102,10815,31187,5051,T-90M,23,2,0,Default State,8,3,AH64D_AttHeli,Primary,2,11369,25205,1
111,15980,25367,5185,Red_Milan,26,2,1,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,3,12877,23485,1
39,14992,25859,5661,RQ11 Raven,10,1,0,Fuel Out State,64,17,Red_Inf_Squad,Primary,1,14393,26221,2
109,14181,29851,5726,Red_Milan,26,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,28132,949,1
101,11448,27975,6963,T-90M,23,2,0,Squad Taken Shot State (Pri),7,3,AH64D_AttHeli,Primary,2,11816,23429,1
110,16276,25387,6992,Red_Milan,26,2,1,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,3,11822,23636,1
7,11965,23720,7185,AH64D_AttHeli,3,1,0,Shot At State (Pri),99,23,T-90M,Primary,3,11291,28553,2
99,11103,28513,7754,T-90M,23,2,0,Squad Taken Shot State (Pri),8,3,AH64D_AttHeli,Primary,2,13366,21283,1
70,14809,26228,9798,Red_Inf_Squad,17,2,1,Shot At State (Sec),35,7,M1A2 Abrams Sep,Secondary,2,14837,26132,1
71,14736,26140,9805,Red_Inf_Squad,17,2,1,Shot At State (Sec),35,7,M1A2 Abrams Sep,Secondary,2,14836,26136,1
67,14428,26251,9816,Red_Inf_Squad,17,2,1,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,13962,23672,1
74,14646,26207,9829,Red_Inf_Squad,17,2,1,Shot At State (Pri),35,7,M1A2 Abrams Sep,Primary,1,14825,26159,1
69,15024,26128,9923,Red_Inf_Squad,17,2,1,Shot At State (Sec),35,7,M1A2 Abrams Sep,Secondary,3,14822,26159,1
64,14392,26159,10134,Red_Inf_Squad,17,2,1,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,28132,949,1
36,15562,28289,11683,M1A2 Abrams Sep,7,1,0,Default State,108,26,Red_Milan,Primary,1,14477,29924,2
108,14477,29924,11754,Red_Milan,26,2,0,Shot At State (Pri),33,7,M1A2 Abrams Sep,Primary,1,15480,28240,1
107,15495,31628,12599,Red_AGS30_Squad,25,2,1,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,28132,949,1
104,15106,32167,12776,Red_AGS30_Squad,25,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,28132,949,1
106,15096,32382,13214,Red_AGS30_Squad,25,2,0,Shot At State (Pri),38,9,M109A6 155mm,Primary,1,28132,949,1
105,15215,31717,13751,Red_AGS30_Squad,25,2,1,Shot At State (Sec),33,7,M1A2 Abrams Sep,Secondary,2,15292,31569,1
# Run End
