# MANA Agent End State Results File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Run Started at 4/13/2013, 12:50:13 AM
RandSeed= -1046499358
ID,name,squad,subsquad,x,y,status,fuel,goalx,goaly,hits,state,trig_step,ammo1,ammo2,ammo3,ammo4,ammo5,ammo6
0,Minefield_agent,Minefield,0,15085.0,25563.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
1,Minefield_agent,Minefield,0,14851.0,25475.0,Active,1000,0,0,0,Taken Shot State (Pri),4331,0, 0, 0, 0, 0, 0
2,Minefield_agent,Minefield,0,14955.0,25757.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
3,Minefield_agent,Minefield,0,14982.0,25494.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
4,Minefield_agent,Minefield,0,14988.0,25593.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
5,Minefield_agent,Minefield,0,15027.0,25651.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
6,IED_agent,IED,0,15221.0,2952.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
7,AH64D_AttHel_agent,AH64D_AttHeli,0,14422.8,25921.9,Dead,45060,23669,951,2,Injured State,4137,1168,0,19, 0, 0, 0
8,AH64D_AttHel_agent,AH64D_AttHeli,0,21715.6,9337.9,Injured,1565,23669,951,1,Default State,5837,1168,8,16, 0, 0, 0
9,Red_Inf_Squa_agent,Red_Inf_Squad,0,14580.3,3209.7,Dead,8600,0,0,1,Shot At State (Pri),608,1930,3500,20,1, 0, 0
10,Red_Inf_Squa_agent,Red_Inf_Squad,1,13891.9,3033.1,Dead,8600,0,0,1,Shot At State (Sec),738,1945,3500,20,1, 0, 0
11,Red_Inf_Squa_agent,Red_Inf_Squad,2,15539.1,3278.7,Dead,8600,0,0,1,Shot At State (Pri),632,1950,3500,20,0, 0, 0
12,Red_Inf_Squa_agent,Red_Inf_Squad,3,15887.7,3007.3,Dead,8600,0,0,1,Shot At State (Pri),972,1753,3500,17,1, 0, 0
13,Red_Inf_Squa_agent,Red_Inf_Squad,4,15683.4,3459.8,Dead,8600,0,0,1,Shot At State (Pri),787,1944,3500,20,1, 0, 0
14,Red_Inf_Squa_agent,Red_Inf_Squad,5,14906.4,3246.8,Dead,8600,0,0,1,Shot At State (Pri),772,1831,3497,18,0, 0, 0
15,Red_Inf_Squa_agent,Red_Inf_Squad,6,14893.4,3553.8,Dead,8600,0,0,1,Shot At State (Sec),672,1939,3500,20,1, 0, 0
16,Red_Inf_Squa_agent,Red_Inf_Squad,0,14268.5,3155.8,Dead,8600,0,0,1,Shot At State (Pri),859,1859,3499,20,0, 0, 0
17,Red_Inf_Squa_agent,Red_Inf_Squad,1,13587.0,3054.0,Dead,8600,0,0,1,Shot At State (Pri),195,2000,3500,20,1, 0, 0
18,Red_Inf_Squa_agent,Red_Inf_Squad,2,15545.0,3271.1,Dead,8600,0,0,1,Shot At State (Pri),632,1873,3500,19,0, 0, 0
19,Red_Inf_Squa_agent,Red_Inf_Squad,3,15853.9,3016.2,Dead,8600,0,0,1,Shot At State (Sec),618,1858,3499,19,0, 0, 0
20,Red_Inf_Squa_agent,Red_Inf_Squad,4,15943.0,3472.0,Dead,8600,0,0,1,Shot At State (Pri),345,2000,3500,20,1, 0, 0
21,Red_Inf_Squa_agent,Red_Inf_Squad,5,14929.2,3219.8,Dead,8600,0,0,1,Shot At State (Pri),635,1956,3500,20,1, 0, 0
22,Red_Inf_Squa_agent,Red_Inf_Squad,6,14959.7,3834.3,Dead,8600,0,0,1,Shot At State (Pri),722,1966,3500,20,1, 0, 0
23,Red_Inf_Squa_agent,Red_Inf_Squad,0,14470.6,3199.7,Dead,8600,0,0,1,Shot At State (Sec),528,1981,3500,20,1, 0, 0
24,Red_Inf_Squa_agent,Red_Inf_Squad,1,13722.0,3142.0,Dead,8600,0,0,1,Shot At State (Pri),185,2000,3500,20,1, 0, 0
25,M1A2 Abrams _agent,M1A2 Abrams Sep,0,13766.3,38357.5,Active,1000,13629,39937,0,Default State,8267,38,860,4386, 0, 0, 0
26,M1A2 Abrams _agent,M1A2 Abrams Sep,0,13724.4,38659.0,Active,1000,13629,39937,0,Default State,8267,38,854,4376, 0, 0, 0
27,M1A2 Abrams _agent,M1A2 Abrams Sep,0,13789.5,38192.4,Active,1000,13629,39937,0,Default State,8267,39,878,4394, 0, 0, 0
28,M1A2 Abrams _agent,M1A2 Abrams Sep,0,13632.1,39759.7,Active,1000,13629,39937,0,Default State,8267,40,874,4400, 0, 0, 0
29,M1A2 Abrams _agent,M1A2 Abrams Sep,0,13821.3,38005.5,Active,1000,13629,39937,0,Default State,8267,39,874,4394, 0, 0, 0
30,Company_HQ_agent,Company_HQ,0,28633.0,704.0,Active,999999,0,0,0,Default State,0, 0, 0, 0, 0, 0, 0
31,M109A6 155mm_agent,M109A6 155mm,0,27752.0,1080.0,Active,1000,0,0,0,Default State,0,8,16, 0, 0, 0, 0
32,M109A6 155mm_agent,M109A6 155mm,0,27739.0,853.0,Active,1000,0,0,0,Default State,0,7,16, 0, 0, 0, 0
33,M109A6 155mm_agent,M109A6 155mm,0,28464.0,891.0,Active,1000,0,0,0,Default State,0,8,16, 0, 0, 0, 0
34,RQ11 Raven_agent,RQ11 Raven,0,27403.6,1328.2,Active,2276,19234,6656,0,Fuel Out State,13497, 0, 0, 0, 0, 0, 0
35,RQ11 Raven_agent,RQ11 Raven,0,28748.6,1014.8,Injured,2276,2540,4184,3,Fuel Out State,13497, 0, 0, 0, 0, 0, 0
36,RQ11 Raven_agent,RQ11 Raven,0,28749.9,1014.0,Active,2276,2540,4184,0,Fuel Out State,13497, 0, 0, 0, 0, 0, 0
37,RQ11 Raven_agent,RQ11 Raven,0,20511.2,2050.8,Active,2276,19234,6656,0,Fuel Out State,13497, 0, 0, 0, 0, 0, 0
38,Bradley_Infa_agent,Bradley_Infantry,0,14914.4,32025.9,Dead,8600,13548,39176,1,Shot At State (Pri),12297,1162,1250,70,0, 0, 0
39,Bradley_Infa_agent,Bradley_Infantry,0,14542.7,32303.3,Active,8600,13548,39176,0,Reach Dynamic Waypoint State,14570,1142,1250,70,0, 0, 0
40,Bradley_Infa_agent,Bradley_Infantry,0,13955.7,24725.2,Dead,8600,13548,39176,1,Shot At State (Pri),5877,1134,1250,70,0, 0, 0
41,Bradley_Infa_agent,Bradley_Infantry,0,14199.7,32119.4,Active,8600,13548,39176,0,Reach Dynamic Waypoint State,14439,1108,1250,70,1, 0, 0
42,Bradley_Infa_agent,Bradley_Infantry,0,14506.4,31929.3,Dead,8600,13548,39176,1,Shot At State (Pri),14023,1166,1250,70,0, 0, 0
43,Bradley_Infa_agent,Bradley_Infantry,0,14596.8,31678.5,Active,8600,13548,39176,0,Reach Dynamic Waypoint State,14587,1150,1250,70,1, 0, 0
44,Bradley_Infa_agent,Bradley_Infantry,0,15163.5,31901.8,Dead,8600,13548,39176,1,Shot At State (Pri),12528,1112,1250,70,0, 0, 0
45,Bradley_Infa_agent,Bradley_Infantry,0,13663.7,31620.7,Active,8600,13548,39176,0,Reach Dynamic Waypoint State,14578,1182,1250,70,1, 0, 0
46,Bradley_Infa_agent,Bradley_Infantry,0,14937.9,32299.5,Dead,8600,13548,39176,1,Shot At State (Pri),12545,1180,1250,70,1, 0, 0
47,Bradley_Infa_agent,Bradley_Infantry,0,14817.2,31704.3,Dead,8600,13548,39176,1,Shot At State (Pri),10803,1180,1250,70,1, 0, 0
