# MANA Casualty Location Results File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Run Started at 4/12/2013, 11:41:56 PM
RandSeed= -1898666947
ID,x-casualty,y-casualty,time,Cas Squad,Cas Squad ID,Cas alleg,subsquad,state,shooter ID,Squad ID,Sqd name,weapon class,weapon ID,x-shooter,y-shooter,shooter alleg
68
6,15221,2952,107,IED,2,2,0,Default State,31,9,M109A6 155mm,Primary,2,27663,379,1
89,14031,3069,152,Red_60mm_mortar,19,2,0,Shot At State (Pri),29,7,M1A2 Abrams Sep,Primary,1,15595,1914,1
16,14459,3248,219,Red_Inf_Squad,6,2,0,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,2,18484,1955,1
14,14980,3184,257,Red_Inf_Squad,6,2,5,Shot At State (Sec),28,7,M1A2 Abrams Sep,Secondary,3,15446,2442,1
21,14942,3175,262,Red_Inf_Squad,6,2,5,Shot At State (Pri),59,14,Bradley M2A3,Primary,1,15647,2612,1
90,14329,3161,268,Red_60mm_mortar,19,2,0,Shot At State (Pri),32,9,M109A6 155mm,Primary,1,28327,220,1
18,15542,3277,289,Red_Inf_Squad,6,2,2,Shot At State (Pri),38,11,Bradley_Infantry,Primary,1,15692,2630,1
11,15542,3280,323,Red_Inf_Squad,6,2,2,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,3,17664,2056,1
23,14369,3193,334,Red_Inf_Squad,6,2,0,Shot At State (Pri),31,9,M109A6 155mm,Primary,1,27663,379,1
20,15961,3549,336,Red_Inf_Squad,6,2,4,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,2,17697,2079,1
91,14040,3153,345,Red_60mm_mortar,19,2,0,Shot At State (Pri),29,7,M1A2 Abrams Sep,Primary,1,15541,2111,1
9,14145,3179,351,Red_Inf_Squad,6,2,0,Shot At State (Pri),33,9,M109A6 155mm,Primary,1,28498,970,1
12,15801,2999,373,Red_Inf_Squad,6,2,3,Shot At State (Pri),49,12,Bradley_Infantry,Primary,1,15640,2894,1
22,14962,3565,452,Red_Inf_Squad,6,2,6,Shot At State (Pri),59,14,Bradley M2A3,Primary,3,15683,3096,1
15,14919,3951,551,Red_Inf_Squad,6,2,6,Shot At State (Pri),40,11,Bradley_Infantry,Primary,1,15467,3114,1
13,15780,3560,565,Red_Inf_Squad,6,2,4,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,2,16219,2429,1
24,13747,3120,648,Red_Inf_Squad,6,2,1,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,3,15596,2550,1
19,16065,3032,656,Red_Inf_Squad,6,2,3,Shot At State (Pri),48,12,Bradley_Infantry,Primary,1,15490,3176,1
10,13782,3084,847,Red_Inf_Squad,6,2,1,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,15220,2884,1
