# MANA Agent End State Results File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Run Started at 4/13/2013, 12:07:29 AM
RandSeed= 1245720798
ID,name,squad,subsquad,x,y,status,fuel,goalx,goaly,hits,state,trig_step,ammo1,ammo2,ammo3,ammo4,ammo5,ammo6
0,Minefield_agent,Minefield,0,14828.0,25562.0,Active,1000,0,0,0,Default State,0,1, 0, 0, 0, 0, 0
1,Minefield_agent,Minefield,0,15089.0,25561.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
2,Minefield_agent,Minefield,0,15131.0,25794.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
3,Minefield_agent,Minefield,0,15153.0,25507.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
4,Minefield_agent,Minefield,0,14975.0,25783.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
5,Minefield_agent,Minefield,0,14970.0,25641.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
6,IED_agent,IED,0,15221.0,2952.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
7,AH64D_AttHel_agent,AH64D_AttHeli,0,28677.9,530.9,Injured,5280,2419,2853,1,Fuel Out State,25195,1152,6,8, 0, 0, 0
8,AH64D_AttHel_agent,AH64D_AttHeli,0,28608.9,588.2,Injured,5280,2419,2853,1,Fuel Out State,25195,1168,6,17, 0, 0, 0
9,AH64D_AttHel_agent,AH64D_AttHeli,0,28706.6,606.3,Injured,5280,2419,2853,1,Fuel Out State,25195,1164,5,36, 0, 0, 0
10,AH64D_AttHel_agent,AH64D_AttHeli,0,13707.5,26370.6,Dead,77260,2419,2853,2,Fuel Out State,7200,1128,6,35, 0, 0, 0
11,Red_Inf_Squa_agent,Red_Inf_Squad,0,14724.7,3217.4,Dead,8600,0,0,1,Shot At State (Pri),501,1935,3500,20,1, 0, 0
12,Red_Inf_Squa_agent,Red_Inf_Squad,1,13750.0,3137.0,Dead,8600,0,0,1,Shot At State (Pri),317,2000,3500,20,1, 0, 0
13,Red_Inf_Squa_agent,Red_Inf_Squad,2,15542.5,3276.2,Dead,8600,0,0,1,Shot At State (Sec),400,1988,3494,20,1, 0, 0
14,Red_Inf_Squa_agent,Red_Inf_Squad,3,15740.0,2989.1,Dead,8600,0,0,1,Shot At State (Pri),268,2000,3498,20,0, 0, 0
15,Red_Inf_Squa_agent,Red_Inf_Squad,4,15870.3,3560.9,Dead,8600,0,0,1,Shot At State (Pri),369,1980,3500,20,1, 0, 0
16,Red_Inf_Squa_agent,Red_Inf_Squad,5,14974.8,3296.8,Dead,8600,0,0,1,Shot At State (Pri),389,1985,3498,20,0, 0, 0
17,Red_Inf_Squa_agent,Red_Inf_Squad,6,14955.6,3524.9,Dead,8600,0,0,1,Shot At State (Pri),280,1986,3500,20,1, 0, 0
18,Red_Inf_Squa_agent,Red_Inf_Squad,0,14695.6,3235.5,Dead,8600,0,0,1,Shot At State (Pri),356,1986,3500,20,1, 0, 0
19,Red_Inf_Squa_agent,Red_Inf_Squad,1,13581.9,3017.5,Dead,8600,0,0,1,Shot At State (Pri),555,1987,3500,20,1, 0, 0
20,Red_Inf_Squa_agent,Red_Inf_Squad,2,15545.9,3277.9,Dead,8600,0,0,1,Shot At State (Sec),246,2000,3496,20,0, 0, 0
21,Red_Inf_Squa_agent,Red_Inf_Squad,3,15822.8,2994.7,Dead,8600,0,0,1,Shot At State (Pri),187,2000,3499,20,1, 0, 0
22,Red_Inf_Squa_agent,Red_Inf_Squad,4,15568.4,3534.9,Dead,8600,0,0,1,Shot At State (Pri),270,2000,3500,20,0, 0, 0
23,Red_Inf_Squa_agent,Red_Inf_Squad,5,14926.1,3254.7,Dead,8600,0,0,1,Shot At State (Pri),304,2000,3500,20,0, 0, 0
24,Red_Inf_Squa_agent,Red_Inf_Squad,6,14913.1,3844.7,Dead,8600,0,0,1,Shot At State (Pri),441,1973,3500,20,1, 0, 0
25,Red_Inf_Squa_agent,Red_Inf_Squad,0,14778.7,3231.5,Dead,8600,0,0,1,Shot At State (Pri),383,1981,3499,20,1, 0, 0
26,Red_Inf_Squa_agent,Red_Inf_Squad,1,14023.0,3072.0,Dead,8600,0,0,1,Shot At State (Pri),206,2000,3500,20,1, 0, 0
27,M1A2 Abrams _agent,M1A2 Abrams Sep,0,13605.1,39742.1,Active,1000,13629,39937,0,Default State,11177,42,878,4396, 0, 0, 0
28,M1A2 Abrams _agent,M1A2 Abrams Sep,0,13488.1,39086.1,Active,1000,13629,39937,0,Default State,11177,42,882,4386, 0, 0, 0
29,M1A2 Abrams _agent,M1A2 Abrams Sep,0,14823.6,30954.2,Dead,1000,14516,33154,1,Squad Taken Shot State (Pri),10677,42,890,4392, 0, 0, 0
30,M1A2 Abrams _agent,M1A2 Abrams Sep,0,13638.7,39116.5,Active,1000,13629,39937,0,Default State,11177,41,888,4394, 0, 0, 0
31,Company_HQ_agent,Company_HQ,0,28633.0,704.0,Active,999999,0,0,0,Default State,0, 0, 0, 0, 0, 0, 0
32,M109A6 155mm_agent,M109A6 155mm,0,27812.0,890.0,Active,1000,0,0,0,Default State,0,16,16, 0, 0, 0, 0
33,M109A6 155mm_agent,M109A6 155mm,0,28322.0,852.0,Active,1000,0,0,0,Default State,0,16,16, 0, 0, 0, 0
34,M109A6 155mm_agent,M109A6 155mm,0,27871.0,517.0,Active,1000,0,0,0,Default State,0,16,16, 0, 0, 0, 0
35,RQ11 Raven_agent,RQ11 Raven,0,5371.0,1671.6,Injured,3176,20887,3613,1,Default State,24294, 0, 0, 0, 0, 0, 0
36,RQ11 Raven_agent,RQ11 Raven,0,4171.1,4408.0,Active,3176,19234,6656,0,Default State,24294, 0, 0, 0, 0, 0, 0
37,RQ11 Raven_agent,RQ11 Raven,0,20429.1,3555.3,Active,3176,20887,3613,0,Default State,24294, 0, 0, 0, 0, 0, 0
38,RQ11 Raven_agent,RQ11 Raven,0,13632.8,11782.9,Active,3176,2903,14960,0,Default State,24294, 0, 0, 0, 0, 0, 0
39,Bradley_Infa_agent,Bradley_Infantry,0,13542.7,39170.6,Active,8600,13548,39176,0,Reach Dynamic Waypoint State,1795,1144,1250,70,0, 0, 0
40,Bradley_Infa_agent,Bradley_Infantry,0,13544.0,39179.2,Active,8600,13548,39176,0,Reach Dynamic Waypoint State,1625,1142,1250,70,0, 0, 0
41,Bradley_Infa_agent,Bradley_Infantry,0,13550.1,39169.8,Active,8600,13548,39176,0,Reach Dynamic Waypoint State,1726,1140,1250,70,0, 0, 0
42,Bradley_Infa_agent,Bradley_Infantry,0,13547.3,39186.0,Active,8600,13548,39176,0,Reach Dynamic Waypoint State,1881,1142,1250,70,1, 0, 0
43,Bradley_Infa_agent,Bradley_Infantry,0,13550.2,39175.1,Active,8600,13548,39176,0,Reach Dynamic Waypoint State,2035,1184,1250,70,1, 0, 0
44,Bradley_Infa_agent,Bradley_Infantry,0,13558.3,39172.9,Active,8600,13548,39176,0,Reach Dynamic Waypoint State,2090,1174,1250,70,1, 0, 0
45,Bradley_Infa_agent,Bradley_Infantry,0,13553.5,39182.6,Active,8600,13548,39176,0,Reach Dynamic Waypoint State,2013,1166,1250,70,0, 0, 0
46,Bradley_Infa_agent,Bradley_Infantry,0,12912.9,32514.0,Active,8600,13548,39176,0,Default State,25965,1182,1250,70,1, 0, 0
47,Bradley_Infa_agent,Bradley_Infantry,0,12766.8,32550.6,Active,8600,13548,39176,0,Reach Dynamic Waypoint State,26444,1182,1250,70,1, 0, 0
48,Bradley_Infa_agent,Bradley_Infantry,0,12582.6,32482.2,Active,8600,13548,39176,0,Reach Dynamic Waypoint State,26381,1182,1250,70,1, 0, 0
49,Bradley_Infa_agent,Bradley_Infantry,0,12541.6,32118.7,Active,8600,13548,39176,0,Default State,25965,1182,1250,70,1, 0, 0
50,Bradley_Infa_agent,Bradley_Infantry,0,12624.1,32157.4,Active,8600,13548,39176,0,Default State,25965,1180,1250,70,1, 0, 0
51,Bradley_Infa_agent,Bradley_Infantry,0,15006.3,31627.8,Dead,8600,13548,39176,1,Shot At State (Pri),20591,1182,1250,70,1, 0, 0
52,Bradley_Infa_agent,Bradley_Infantry,0,14948.8,32073.9,Dead,8600,13548,39176,1,Shot At State (Pri),20563,1182,1250,70,1, 0, 0
53,Bradley_Infa_agent,Bradley_Infantry,0,13765.2,31412.7,Active,8600,13548,39176,0,Default State,25913,1200,1250,70,1, 0, 0
54,Bradley_Infa_agent,Bradley_Infantry,0,13623.6,31576.5,Active,8600,13548,39176,0,Reach Dynamic Waypoint State,26377,1200,1250,70,1, 0, 0
55,Bradley_Infa_agent,Bradley_Infantry,0,13397.2,31510.6,Active,8600,13548,39176,0,Reach Dynamic Waypoint State,26330,1200,1250,70,1, 0, 0
56,Bradley_Infa_agent,Bradley_Infantry,0,13353.9,31189.3,Active,8600,13548,39176,0,Reach Dynamic Waypoint State,26385,1200,1250,70,1, 0, 0
57,Bradley_Infa_agent,Bradley_Infantry,0,13506.8,30985.2,Active,8600,13548,39176,0,Default State,25913,1200,1250,70,1, 0, 0
58,Bradley_Infa_agent,Bradley_Infantry,0,13637.0,31128.1,Active,8600,13548,39176,0,Default State,25913,1200,1250,70,1, 0, 0
59,Bradley_Infa_agent,Bradley_Infantry,0,13774.8,31281.3,Active,8600,13548,39176,0,Default State,25913,1200,1250,70,1, 0, 0
60,Bradley M2A3_agent,Bradley M2A3,0,13495.4,15542.5,Dead,1000,13548,17686,1,Dembuss Child,26515,848,4348,6, 0, 0, 0
61,Bradley M2A3_agent,Bradley M2A3,0,12269.1,30547.4,Active,1000,14234,34295,0,Shot At State (Pri),25795,900,4400,7, 0, 0, 0
62,Bradley M2A3_agent,Bradley M2A3,0,11761.8,29372.5,Active,1000,15000,31569,0,Shot At State (Pri),25743,900,4400,5, 0, 0, 0
63,Red_Inf_Squa_agent,Red_Inf_Squad,1,15014.7,26335.6,Dead,8600,0,0,1,Shot At State (Pri),9716,2000,3500,20,0, 0, 0
64,Red_Inf_Squa_agent,Red_Inf_Squad,1,13786.5,26357.5,Dead,8600,0,0,1,Shot At State (Pri),7460,1921,3497,20,1, 0, 0
65,Red_Inf_Squa_agent,Red_Inf_Squad,1,14405.4,26252.7,Dead,8600,0,0,1,Shot At State (Pri),7232,1993,3500,20,1, 0, 0
66,Red_Inf_Squa_agent,Red_Inf_Squad,1,13452.8,26213.3,Dead,8600,0,0,1,Shot At State (Pri),3627,1956,3500,20,1, 0, 0
67,Red_Inf_Squa_agent,Red_Inf_Squad,1,14639.8,26262.2,Dead,8600,0,0,1,Shot At State (Pri),7372,1980,3500,20,1, 0, 0
68,Red_Inf_Squa_agent,Red_Inf_Squad,1,14626.7,26274.0,Dead,8600,0,0,1,Shot At State (Pri),7358,1983,3500,20,1, 0, 0
69,Red_Inf_Squa_agent,Red_Inf_Squad,1,13679.0,26348.0,Dead,8600,0,0,1,Shot At State (Pri),3739,2000,3500,20,1, 0, 0
70,Red_Inf_Squa_agent,Red_Inf_Squad,1,13562.7,26357.5,Dead,8600,0,0,1,Shot At State (Pri),7267,1864,3499,20,1, 0, 0
71,Red_Inf_Squa_agent,Red_Inf_Squad,1,14266.1,26303.3,Dead,8600,0,0,1,Shot At State (Pri),7237,1983,3500,20,1, 0, 0
72,Red_Inf_Squa_agent,Red_Inf_Squad,1,13515.8,26309.7,Dead,8600,0,0,1,Shot At State (Pri),3717,1980,3500,20,1, 0, 0
