# MANA Casualty Location Results File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Run Started at 4/12/2013, 9:59:35 PM
RandSeed= 1466346380
ID,x-casualty,y-casualty,time,Cas Squad,Cas Squad ID,Cas alleg,subsquad,state,shooter ID,Squad ID,Sqd name,weapon class,weapon ID,x-shooter,y-shooter,shooter alleg
71
6,15221,2952,125,IED,2,2,0,Default State,34,9,M109A6 155mm,Primary,2,28097,584,1
92,14231,3131,207,Red_60mm_mortar,19,2,0,Shot At State (Pri),32,9,M109A6 155mm,Primary,1,28470,351,1
14,15962,2995,273,Red_Inf_Squad,6,2,3,Shot At State (Pri),51,12,Bradley_Infantry,Primary,1,15361,1996,1
18,14561,3205,280,Red_Inf_Squad,6,2,0,Shot At State (Pri),32,9,M109A6 155mm,Primary,1,28470,351,1
20,15540,3274,297,Red_Inf_Squad,6,2,2,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,2,17309,2469,1
30,15348,3206,306,M1A2 Abrams Sep,7,1,0,Default State,16,6,Red_Inf_Squad,Primary,4,14928,3250,2
13,15547,3278,320,Red_Inf_Squad,6,2,2,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,2,17235,2447,1
90,14197,3146,330,Red_60mm_mortar,19,2,0,Shot At State (Pri),10,3,AH64D_AttHeli,Primary,2,17152,2492,1
15,15794,3469,331,Red_Inf_Squad,6,2,4,Shot At State (Pri),9,3,AH64D_AttHeli,Primary,2,16556,2601,1
16,14928,3249,332,Red_Inf_Squad,6,2,5,Shot At State (Pri),9,3,AH64D_AttHeli,Primary,2,16559,2602,1
22,15939,3563,343,Red_Inf_Squad,6,2,4,Shot At State (Pri),62,16,Bradley M2A3,Primary,3,15583,1975,1
11,14374,3192,355,Red_Inf_Squad,6,2,0,Shot At State (Pri),7,3,AH64D_AttHeli,Primary,2,17076,2418,1
24,14894,3585,420,Red_Inf_Squad,6,2,6,Shot At State (Pri),9,3,AH64D_AttHeli,Primary,3,19814,4012,1
21,16062,2982,425,Red_Inf_Squad,6,2,3,Shot At State (Pri),10,3,AH64D_AttHeli,Primary,2,16657,2582,1
25,14144,3204,459,Red_Inf_Squad,6,2,0,Shot At State (Pri),9,3,AH64D_AttHeli,Primary,3,19615,3932,1
17,14944,3699,500,Red_Inf_Squad,6,2,6,Shot At State (Pri),9,3,AH64D_AttHeli,Primary,2,19336,3785,1
23,14994,3277,522,Red_Inf_Squad,6,2,5,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,3,18603,3262,1
26,13825,3002,655,Red_Inf_Squad,6,2,1,Shot At State (Pri),10,3,AH64D_AttHeli,Primary,2,15288,2450,1
12,13655,3122,730,Red_Inf_Squad,6,2,1,Shot At State (Pri),9,3,AH64D_AttHeli,Primary,2,17829,2889,1
91,14233,3095,754,Red_60mm_mortar,19,2,0,Shot At State (Pri),10,3,AH64D_AttHeli,Primary,2,15053,2614,1
