# MANA Casualty Location Results File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Run Started at 4/13/2013, 12:43:28 AM
RandSeed= 1495310074
ID,x-casualty,y-casualty,time,Cas Squad,Cas Squad ID,Cas alleg,subsquad,state,shooter ID,Squad ID,Sqd name,weapon class,weapon ID,x-shooter,y-shooter,shooter alleg
79
11,14503,3243,134,Red_Inf_Squad,6,2,0,Shot At State (Pri),27,7,M1A2 Abrams Sep,Primary,1,15536,1834,1
6,15221,2952,135,IED,2,2,0,Default State,33,9,M109A6 155mm,Primary,2,28195,787,1
12,13673,3078,159,Red_Inf_Squad,6,2,1,Shot At State (Pri),33,9,M109A6 155mm,Primary,1,28195,787,1
19,13674,3018,169,Red_Inf_Squad,6,2,1,Shot At State (Pri),9,3,AH64D_AttHeli,Primary,3,21103,1509,1
59,15194,1602,171,Bradley_Infantry,13,1,0,Shot At State (Pri),91,19,Red_60mm_mortar,Primary,1,14025,3095,2
22,15983,3481,212,Red_Inf_Squad,6,2,4,Shot At State (Pri),33,9,M109A6 155mm,Primary,1,28195,787,1
90,13973,3078,218,Red_60mm_mortar,19,2,0,Shot At State (Pri),10,3,AH64D_AttHeli,Primary,3,20358,1773,1
91,14025,3095,220,Red_60mm_mortar,19,2,0,Shot At State (Pri),8,3,AH64D_AttHeli,Primary,2,20603,1655,1
92,14190,3096,223,Red_60mm_mortar,19,2,0,Shot At State (Pri),62,16,Bradley M2A3,Primary,3,14897,1729,1
14,15592,3040,234,Red_Inf_Squad,6,2,3,Shot At State (Pri),34,9,M109A6 155mm,Primary,1,28455,525,1
18,14391,3246,239,Red_Inf_Squad,6,2,0,Shot At State (Pri),33,9,M109A6 155mm,Primary,1,28195,787,1
25,14584,3180,254,Red_Inf_Squad,6,2,0,Shot At State (Pri),32,9,M109A6 155mm,Primary,1,28131,244,1
13,15544,3279,303,Red_Inf_Squad,6,2,2,Shot At State (Pri),10,3,AH64D_AttHeli,Primary,3,19707,1830,1
15,15617,3469,335,Red_Inf_Squad,6,2,4,Shot At State (Pri),32,9,M109A6 155mm,Primary,1,28131,244,1
16,14983,3205,356,Red_Inf_Squad,6,2,5,Shot At State (Pri),120,30,Bradley_Infantry,Primary,4,15174,1759,1
23,14986,3172,363,Red_Inf_Squad,6,2,5,Shot At State (Pri),44,11,Bradley_Infantry,Primary,1,15134,2162,1
20,15542,3278,406,Red_Inf_Squad,6,2,2,Shot At State (Pri),117,29,Bradley_Infantry,Primary,1,16035,2966,1
