# MANA MultiRun Summary File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Scenario,F:\SE311-114G\MANA_version5_31st_Jan_2013\Capstone114G_Scenario_Reinforced-20130412.xml
# MultiRun Started,4/12/2013,10:01:35 PM
Run,Seed,Alleg1Cas(Blue),Alleg2Cas(Red),Alleg0Cas(Neutral),Blue Reach Goal,Red Reach Goal,Neutral Reach Goal,Steps, Sqd1Cas, Sqd2Cas, Sqd3Cas, Sqd4Cas, Sqd5Cas, Sqd6Cas, Sqd7Cas, Sqd8Cas, Sqd9Cas, Sqd10Cas, Sqd11Cas, Sqd12Cas, Sqd13Cas, Sqd14Cas, Sqd15Cas, Sqd16Cas, Sqd17Cas, Sqd18Cas, Sqd19Cas, Sqd20Cas, Sqd21Cas, Sqd22Cas, Sqd23Cas, Sqd24Cas, Sqd25Cas, Sqd26Cas, Sqd27Cas, Sqd28Cas, Sqd29Cas, Sqd30Cas, Sqd1Inj, Sqd2Inj, Sqd3Inj, Sqd4Inj, Sqd5Inj, Sqd6Inj, Sqd7Inj, Sqd8Inj, Sqd9Inj, Sqd10Inj, Sqd11Inj, Sqd12Inj, Sqd13Inj, Sqd14Inj, Sqd15Inj, Sqd16Inj, Sqd17Inj, Sqd18Inj, Sqd19Inj, Sqd20Inj, Sqd21Inj, Sqd22Inj, Sqd23Inj, Sqd24Inj, Sqd25Inj, Sqd26Inj, Sqd27Inj, Sqd28Inj, Sqd29Inj, Sqd30Inj
1,1784703683,42,36,0,No,No,No,6338, 5, 1, 2, 1, 7, 16, 0, 0, 0, 0, 7, 7, 7, 1, 1, 1, 4, 0, 3, 1, 1, 2, 3, 0, 0, 0, 0, 1, 0, 7, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2,1720379043,38,65,0,No,No,No,17358, 5, 1, 2, 0, 6, 16, 0, 0, 0, 0, 7, 2, 7, 1, 0, 1, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 1, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3,1907776557,30,66,0,No,No,Yes,20147, 5, 1, 3, 0, 6, 16, 0, 0, 0, 1, 7, 1, 7, 1, 0, 1, 10, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4,1961580264,22,68,0,No,No,Yes,30193, 6, 1, 2, 0, 2, 16, 0, 0, 0, 1, 2, 0, 7, 0, 0, 1, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 3, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5,-1162505202,19,65,0,No,No,Yes,34386, 5, 1, 1, 0, 2, 16, 0, 0, 0, 1, 3, 2, 1, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 4, 5, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6,1140269301,29,65,0,No,No,Yes,31197, 5, 1, 0, 1, 7, 16, 0, 0, 0, 0, 1, 5, 1, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 7, 7, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7,1870031625,27,65,0,No,No,Yes,21349, 6, 1, 3, 1, 7, 16, 0, 0, 0, 0, 2, 7, 2, 0, 0, 0, 10, 16, 3, 1, 2, 2, 4, 0, 0, 4, 1, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8,-1737916756,11,67,0,No,No,Yes,25133, 5, 1, 2, 0, 0, 16, 2, 0, 0, 0, 0, 1, 1, 1, 0, 1, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9,1498419117,12,68,0,No,No,Yes,32554, 6, 1, 1, 0, 2, 16, 1, 0, 0, 0, 1, 1, 3, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10,508812737,37,42,0,No,No,No,6924, 5, 1, 1, 1, 7, 16, 0, 0, 0, 0, 7, 7, 6, 1, 1, 0, 5, 3, 3, 0, 1, 0, 4, 0, 0, 4, 0, 0, 3, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
