# MANA Agent End State Results File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Run Started at 4/12/2013, 10:59:30 PM
RandSeed= -1162505202
ID,name,squad,subsquad,x,y,status,fuel,goalx,goaly,hits,state,trig_step,ammo1,ammo2,ammo3,ammo4,ammo5,ammo6
0,Minefield_agent,Minefield,0,14953.0,25653.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
1,Minefield_agent,Minefield,0,14978.0,25427.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
2,Minefield_agent,Minefield,0,15049.0,25678.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
3,Minefield_agent,Minefield,0,15128.0,25728.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
4,Minefield_agent,Minefield,0,15108.0,25539.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
5,Minefield_agent,Minefield,0,14867.0,25428.0,Active,1000,0,0,0,Taken Shot State (Pri),10874,0, 0, 0, 0, 0, 0
6,IED_agent,IED,0,15221.0,2952.0,Dead,1000,0,0,1,Default State,0,1, 0, 0, 0, 0, 0
7,AH64D_AttHel_agent,AH64D_AttHeli,0,15467.7,8030.6,Injured,784,2419,2853,1,Fuel Out State,34190,1172,5,24, 0, 0, 0
8,AH64D_AttHel_agent,AH64D_AttHeli,0,15406.0,7936.6,Injured,784,2419,2853,1,Fuel Out State,34190,1190,3,36, 0, 0, 0
9,AH64D_AttHel_agent,AH64D_AttHeli,0,14276.4,30692.3,Dead,72744,2419,2853,2,Fuel Out State,16200,1176,1,2, 0, 0, 0
10,Bradley M2A3_agent,Bradley M2A3,0,14412.3,24056.0,Active,1000,14476,23835,0,Default State,2328,862,4362,5, 0, 0, 0
11,Bradley_Infa_agent,Bradley_Infantry,0,15224.9,2300.0,Dead,8600,13629,39556,1,Shot At State (Pri),281,1186,1250,70,1, 0, 0
12,Bradley_Infa_agent,Bradley_Infantry,0,14412.3,24056.1,Active,8600,13629,39556,0,Default State,31302,1143,1250,70,1, 0, 0
13,Bradley_Infa_agent,Bradley_Infantry,0,14412.3,24056.1,Active,8600,13629,39556,0,Default State,31277,1176,1250,70,0, 0, 0
14,Bradley_Infa_agent,Bradley_Infantry,0,14412.3,24056.0,Active,8600,13629,39556,0,Default State,31506,1145,1250,70,1, 0, 0
15,Bradley_Infa_agent,Bradley_Infantry,0,14412.3,24056.0,Active,8600,13629,39556,0,Default State,31899,1144,1250,70,1, 0, 0
16,Bradley_Infa_agent,Bradley_Infantry,0,14412.3,24056.1,Active,8600,13629,39556,0,Default State,31625,1184,1250,70,1, 0, 0
17,Bradley_Infa_agent,Bradley_Infantry,0,15204.1,2382.5,Dead,8600,13629,39556,1,Shot At State (Pri),310,1186,1250,70,0, 0, 0
18,Red_Inf_Squa_agent,Red_Inf_Squad,0,14716.1,3243.8,Dead,8600,0,0,1,Shot At State (Pri),283,1994,3500,20,1, 0, 0
19,Red_Inf_Squa_agent,Red_Inf_Squad,1,13893.0,3110.0,Dead,8600,0,0,1,Shot At State (Pri),233,2000,3500,20,1, 0, 0
20,Red_Inf_Squa_agent,Red_Inf_Squad,2,15544.2,3277.9,Dead,8600,0,0,1,Shot At State (Pri),451,1994,3500,20,1, 0, 0
21,Red_Inf_Squa_agent,Red_Inf_Squad,3,15419.0,2982.0,Dead,8600,0,0,1,Shot At State (Sec),223,2000,3500,20,1, 0, 0
22,Red_Inf_Squa_agent,Red_Inf_Squad,4,15877.0,3467.0,Dead,8600,0,0,1,Shot At State (Pri),162,2000,3500,20,1, 0, 0
23,Red_Inf_Squa_agent,Red_Inf_Squad,5,14939.2,3281.7,Dead,8600,0,0,1,Shot At State (Pri),562,1953,3500,20,0, 0, 0
24,Red_Inf_Squa_agent,Red_Inf_Squad,6,14945.8,3502.0,Dead,8600,0,0,1,Shot At State (Pri),381,1986,3500,20,1, 0, 0
25,Red_Inf_Squa_agent,Red_Inf_Squad,0,14859.0,3215.9,Dead,8600,0,0,1,Shot At State (Pri),462,1995,3500,20,1, 0, 0
26,Red_Inf_Squa_agent,Red_Inf_Squad,1,13648.0,3082.0,Dead,8600,0,0,1,Shot At State (Pri),201,2000,3500,20,1, 0, 0
27,Red_Inf_Squa_agent,Red_Inf_Squad,2,15541.9,3276.9,Dead,8600,0,0,1,Shot At State (Pri),383,1994,3500,20,1, 0, 0
28,Red_Inf_Squa_agent,Red_Inf_Squad,3,15531.8,3038.1,Dead,8600,0,0,1,Shot At State (Pri),280,1997,3500,20,1, 0, 0
29,Red_Inf_Squa_agent,Red_Inf_Squad,4,15625.0,3480.0,Dead,8600,0,0,1,Shot At State (Pri),128,2000,3500,20,1, 0, 0
30,Red_Inf_Squa_agent,Red_Inf_Squad,5,14906.0,3295.7,Dead,8600,0,0,1,Shot At State (Pri),431,1880,3494,15,0, 0, 0
31,Red_Inf_Squa_agent,Red_Inf_Squad,6,14943.9,3661.2,Dead,8600,0,0,1,Shot At State (Sec),430,1984,3500,20,1, 0, 0
32,Red_Inf_Squa_agent,Red_Inf_Squad,0,14773.2,3164.6,Dead,8600,0,0,1,Shot At State (Pri),343,1988,3500,20,1, 0, 0
33,Red_Inf_Squa_agent,Red_Inf_Squad,1,13847.3,3007.9,Dead,8600,0,0,1,Shot At State (Sec),632,2000,3500,20,1, 0, 0
34,M1A2 Abrams _agent,M1A2 Abrams Sep,0,13580.7,38584.4,Active,1000,13629,39937,0,Default State,6338,41,892,4400, 0, 0, 0
35,M1A2 Abrams _agent,M1A2 Abrams Sep,0,13617.1,39760.1,Active,1000,13629,39937,0,Default State,6338,42,898,4398, 0, 0, 0
36,M1A2 Abrams _agent,M1A2 Abrams Sep,0,13589.4,38929.6,Active,1000,13629,39937,0,Default State,6338,42,896,4400, 0, 0, 0
37,M1A2 Abrams _agent,M1A2 Abrams Sep,0,13593.5,39248.2,Active,1000,13629,39937,0,Default State,6338,41,890,4396, 0, 0, 0
38,M1A2 Abrams _agent,M1A2 Abrams Sep,0,13585.9,39109.3,Active,1000,13629,39937,0,Default State,6338,41,892,4400, 0, 0, 0
39,M1A2 Abrams _agent,M1A2 Abrams Sep,0,13604.2,39494.1,Active,1000,13629,39937,0,Default State,6338,40,894,4398, 0, 0, 0
40,Company_HQ_agent,Company_HQ,0,28633.0,704.0,Active,999999,0,0,0,Default State,0, 0, 0, 0, 0, 0, 0
41,M109A6 155mm_agent,M109A6 155mm,0,27661.0,696.0,Active,1000,0,0,0,Default State,0,2,16, 0, 0, 0, 0
42,M109A6 155mm_agent,M109A6 155mm,0,27574.0,249.0,Active,1000,0,0,0,Default State,0,13,16, 0, 0, 0, 0
43,M109A6 155mm_agent,M109A6 155mm,0,28350.0,464.0,Active,1000,0,0,0,Default State,0,12,16, 0, 0, 0, 0
44,RQ11 Raven_agent,RQ11 Raven,0,11733.8,30080.0,Dead,41778,2137,30935,2,Fuel Out State,13497, 0, 0, 0, 0, 0, 0
45,RQ11 Raven_agent,RQ11 Raven,0,13986.9,35191.3,Active,3402,1250,37781,0,Default State,32391, 0, 0, 0, 0, 0, 0
46,Bradley_Infa_agent,Bradley_Infantry,0,11521.2,29374.3,Active,8600,13548,39176,0,Reach Dynamic Waypoint State,24062,1184,1250,70,1, 0, 0
47,Bradley_Infa_agent,Bradley_Infantry,0,11521.2,29374.3,Active,8600,13548,39176,0,Reach Dynamic Waypoint State,24140,1184,1250,70,1, 0, 0
48,Bradley_Infa_agent,Bradley_Infantry,0,11521.2,29374.3,Active,8600,13548,39176,0,Reach Dynamic Waypoint State,24167,1182,1250,70,1, 0, 0
49,Bradley_Infa_agent,Bradley_Infantry,0,14911.2,31162.2,Dead,8600,13548,39176,1,Shot At State (Pri),14601,1184,1250,70,1, 0, 0
50,Bradley_Infa_agent,Bradley_Infantry,0,14683.4,32596.9,Dead,8600,13548,39176,1,Shot At State (Pri),21346,1184,1249,70,0, 0, 0
51,Bradley_Infa_agent,Bradley_Infantry,0,11521.2,29374.3,Active,8600,13548,39176,0,Reach Dynamic Waypoint State,24207,1186,1250,70,1, 0, 0
52,Bradley_Infa_agent,Bradley_Infantry,0,14833.0,32278.6,Dead,8600,13548,39176,1,Shot At State (Pri),20647,1198,1250,70,1, 0, 0
53,Bradley_Infa_agent,Bradley_Infantry,0,14819.4,31768.2,Dead,8600,13548,39176,1,Shot At State (Pri),15270,1200,1250,70,1, 0, 0
54,Bradley_Infa_agent,Bradley_Infantry,0,14050.7,34102.6,Active,8600,13548,39176,0,Reach Dynamic Waypoint State,32677,1200,1250,70,1, 0, 0
